1	1	1	1	1	0	0	0	13.7	1.0118534585986285
13	-2.1331115201445727	3.331348345265917
-0.4927869155670265	0.4945363441586603	0.00002818192510567655	-7.408590657532099e-6
-0.2064073224521393	-0.2654923888984024	0.000054761692343776534	4.164864182982213e-6
378.2325933033209	15.003951163239957	-1.567181177388694e-6	-1.8944638709403933e-8
-0.11535679733888332	-0.0002628730923859204	2.3721371181961878e-8
0.993324120960502	-0.00003052798130556766	-3.248814947279155e-8
0.5442150701762088	0.0001255546036143834	-0.00001202368544969495
-0.0021597611306808534	0.00012492891093363447	-0.000011963779956365495
0.0046843492226681565	0.004661010936944177	0.2618683154807416	-0.00026461520980665957
2.419685956259269e6	-75	-59.53308711894891	12	38.552460344872905
2.4196861770004877e6	29	26.1806591576633	-43	-37.26069785008633
2.4196860528803617e6	-117	-23.9777506062498	-37	-34.3249991892138
2.4196860800374947e6	-176	-36.11075522135138	-81	-52.18792338172932
2.4196859991071974e6	-92	-28.55570553741643	3	43.00175246127104
2.419686134036256e6	47	14.459422546806024	-52	-27.271112040373566
2.4196859989195615e6	-92	-24.08329754014005	3	46.59986169371364
2.419686134194965e6	47	10.083236912277158	-52	-24.274735568221217
2.419685999294814e6	-92	-33.02952430081774	3	39.38743559172834
2.419686133877437e6	47	18.844516910406668	-52	-30.281110842477545
2.419686083184201e6	-33	-10.970399970651243	-34	-56.72633105547831
2.4196860666537485e6	-40	-4.315788548198043	-28	-5.818419800153478
