1	0	0	0	0	0	0	0	65.	0.8580561015373038
8	-1.4132883513637942	3.098887747186143
-0.6474632050566482	0.5163393665717029	-0.00002257238289724357	-6.51238036587433e-6
0.9526252073723445	0.10492546359253063	0.0001106876895731277	-1.4487923462180648e-6
298.8137541993225	14.996630911936945	1.3444159962042724e-6	-1.5914496930936655e-8
-0.38663383998590584	0.00006518485821748317	1.0166342614328148e-7
0.9222333076876391	0.000027327862601938864	3.9891076083065207e-8
0.5634976601143884	0.0001309423216299236	-0.000010789937261795383
999.	999.	999
0.004755776523843304	999.	0.2617406262229466	0.00007086554997870224
2.4555657779185823e6	4	28.113221174917182	28	48.93444210289118
2.4555659589814963e6	77	27.992985612468715	48	42.660562965130424
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.353292088775527e6	999.	999.	999.	999.
2.4555658684772216e6	20	53.94019012906263	64	40.711837993960955
