 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 -2   23 40  23 57  ** **  ** **  ** **   0  2   0 12   0 21   0 30   0 39   0 48   0 59   1  6   1 13   1 13   1 16   1 20   1 23   1 27   1 32   1 36   1 42   1 48   1 54   2  2   2 10   2 20   2 32
 -1   ** **  ** **   0 11   0 23   0 33   0 41   0 56   1 10   1 22   1 35   1 48   2  4   2 13   2 23   2 23   2 28   2 33   2 39   2 44   2 51   2 58   3  6   3 15   3 25   3 36   3 50   4  6   4 27
  0    0  5   0 28   0 46   1  1   1 14   1 25   1 44   2  0   2 16   2 32   2 49   3  8   3 20   3 33   3 33   3 39   3 45   3 52   4  0   4  8   4 17   4 28   4 39   4 53   5  9   5 28   5 53   6 27
  1    0 38   1  7   1 28   1 46   2  0   2 13   2 35   2 54   3 12   3 30   3 49   4 11   4 25   4 40   4 40   4 47   4 54   5  2   5 11   5 20   5 31   5 43   5 58   6 14   6 34   6 59   7 34   8 39
  2    1 24   1 55   2 18   2 37   2 53   3  6   3 29   3 50   4  9   4 27   4 48   5 11   5 25   5 41   5 41   5 48   5 56   6  4   6 14   6 24   6 35   6 48   7  3   7 21   7 43   8 11   8 52  -- --
  3    2 22   2 52   3 16   3 34   3 50   4  3   4 26   4 46   5  4   5 23   5 43   6  6   6 19   6 35   6 35   6 42   6 49   6 57   7  6   7 16   7 27   7 39   7 54   8 10   8 30   8 56   9 31  10 35
  4    3 30   3 58   4 19   4 36   4 50   5  2   5 23   5 41   5 58   6 15   6 33   6 54   7  6   7 20   7 20   7 27   7 33   7 41   7 48   7 57   8  7   8 18   8 30   8 44   9  0   9 21   9 46  10 21
  5    4 45   5  7   5 24   5 39   5 51   6  1   6 19   6 35   6 49   7  4   7 19   7 37   7 47   7 59   7 59   8  4   8  9   8 15   8 22   8 29   8 37   8 46   8 55   9  6   9 19   9 34   9 52  10 14
  6    6  0   6 17   6 30   6 41   6 51   6 59   7 13   7 25   7 37   7 48   8  0   8 14   8 22   8 31   8 31   8 35   8 39   8 44   8 49   8 54   9  0   9  7   9 14   9 22   9 31   9 42   9 54  10  9
  7    7 14   7 26   7 35   7 43   7 49   7 55   8  5   8 13   8 21   8 29   8 38   8 47   8 53   8 59   8 59   9  2   9  5   9  8   9 12   9 15   9 19   9 24   9 29   9 34   9 40   9 47   9 55  10  4
  8    8 27   8 33   8 38   8 42   8 46   8 49   8 54   8 59   9  3   9  8   9 13   9 18   9 21   9 25   9 25   9 26   9 28   9 29   9 31   9 33   9 36   9 38   9 41   9 43   9 47   9 50   9 55   9 59
  9    9 38   9 39   9 40   9 40   9 41   9 42   9 43   9 43   9 44   9 45   9 46   9 47   9 48   9 48   9 48   9 49   9 49   9 49   9 50   9 50   9 50   9 51   9 51   9 52   9 53   9 53   9 54   9 55
 10   10 48  10 44  10 41  10 38  10 36  10 34  10 30  10 27  10 25  10 22  10 19  10 16  10 14  10 12  10 12  10 11  10 10  10  9  10  7  10  6  10  5  10  4  10  2  10  0   9 58   9 56   9 54   9 51
