 2458838.5 1   11. W  -0.6
 2458839.5 1   11. W  -0.6
 2458840.5 1   10. W  -0.7
 2458841.5 1   10. W  -0.7
 2458842.5 1    9. W  -0.7
 2458843.5 1    9. W  -0.7
 2458844.5 1    8. W  -0.8
 2458845.5 1    8. W  -0.8
 2458846.5 1    7. W  -0.8
 2458847.5 1    7. W  -0.9
 2458848.5 1    6. W  -0.9
 2458849.5 1    6. W  -0.9
 2458850.5 1    5. W  -1.0
 2458851.5 1    5. W  -1.0
 2458852.5 1    4. W  -1.1
 2458853.5 1    4. W  -1.1
 2458854.5 1    3. W  -1.2
 2458855.5 1    3. W  -1.2
 2458856.5 1    2. W  -1.3
 2458857.5 1    2. W  -1.3
 2458858.5 1    2. W  -1.3
 2458859.5 1    2. E  -1.4
 2458860.5 1    2. E  -1.4
 2458861.5 1    3. E  -1.4
 2458862.5 1    3. E  -1.3
 2458863.5 1    3. E  -1.3
 2458864.5 1    4. E  -1.3
 2458865.5 1    5. E  -1.3
 2458866.5 1    5. E  -1.2
 2458867.5 1    6. E  -1.2
 2458868.5 1    6. E  -1.2
 2458869.5 1    7. E  -1.2
 2458870.5 1    8. E  -1.1
 2458871.5 1    8. E  -1.1
 2458872.5 1    9. E  -1.1
 2458873.5 1   10. E  -1.1
 2458874.5 1   10. E  -1.1
 2458875.5 1   11. E  -1.1
 2458876.5 1   12. E  -1.0
 2458877.5 1   13. E  -1.0
 2458878.5 1   13. E  -1.0
 2458879.5 1   14. E  -1.0
 2458880.5 1   14. E  -1.0
 2458881.5 1   15. E  -1.0
 2458882.5 1   16. E  -1.0
 2458883.5 1   16. E  -1.0
 2458884.5 1   17. E  -0.9
 2458885.5 1   17. E  -0.9
 2458886.5 1   18. E  -0.9
 2458887.5 1   18. E  -0.8
 2458888.5 1   18. E  -0.8
 2458889.5 1   18. E  -0.7
 2458890.5 1   18. E  -0.6
 2458891.5 1   18. E  -0.4
 2458892.5 1   18. E  -0.3
 2458893.5 1   17. E  -0.1
 2458894.5 1   17. E   0.2
 2458895.5 1   16. E   0.4
 2458896.5 1   15. E   0.8
 2458897.5 1   14. E   1.2
 2458898.5 1   13. E   1.6
 2458899.5 1   12. E   2.1
 2458900.5 1   10. E   2.6
 2458901.5 1    9. E   3.2
 2458902.5 1    7. E   3.9
 2458903.5 1    6. E   4.5
 2458904.5 1    4. E   5.0
 2458905.5 1    4. W  99.0
 2458906.5 1    4. W   5.2
 2458907.5 1    5. W   4.8
 2458908.5 1    7. W   4.2
 2458909.5 1    9. W   3.7
 2458910.5 1   11. W   3.2
 2458911.5 1   12. W   2.8
 2458912.5 1   14. W   2.4
 2458913.5 1   15. W   2.1
 2458914.5 1   17. W   1.8
 2458915.5 1   18. W   1.6
 2458916.5 1   20. W   1.3
 2458917.5 1   21. W   1.2
 2458918.5 1   22. W   1.0
 2458919.5 1   23. W   0.9
 2458920.5 1   24. W   0.7
 2458921.5 1   24. W   0.6
 2458922.5 1   25. W   0.6
 2458923.5 1   26. W   0.5
 2458924.5 1   26. W   0.4
 2458925.5 1   26. W   0.4
 2458926.5 1   27. W   0.3
 2458927.5 1   27. W   0.3
 2458928.5 1   27. W   0.3
 2458929.5 1   28. W   0.2
 2458930.5 1   28. W   0.2
 2458931.5 1   28. W   0.2
 2458932.5 1   28. W   0.2
 2458933.5 1   28. W   0.1
 2458934.5 1   28. W   0.1
 2458935.5 1   28. W   0.1
 2458936.5 1   27. W   0.1
 2458937.5 1   27. W   0.1
 2458938.5 1   27. W   0.1
 2458939.5 1   27. W   0.0
 2458940.5 1   27. W   0.0
 2458941.5 1   26. W   0.0
 2458942.5 1   26. W   0.0
 2458943.5 1   25. W   0.0
 2458944.5 1   25. W  -0.1
 2458945.5 1   25. W  -0.1
 2458946.5 1   24. W  -0.1
 2458947.5 1   24. W  -0.1
 2458948.5 1   23. W  -0.2
 2458949.5 1   23. W  -0.2
 2458950.5 1   22. W  -0.2
 2458951.5 1   21. W  -0.3
 2458952.5 1   21. W  -0.3
 2458953.5 1   20. W  -0.3
 2458954.5 1   19. W  -0.4
 2458955.5 1   19. W  -0.4
 2458956.5 1   18. W  -0.5
 2458957.5 1   17. W  -0.5
 2458958.5 1   16. W  -0.6
 2458959.5 1   16. W  -0.6
 2458960.5 1   15. W  -0.7
 2458961.5 1   14. W  -0.8
 2458962.5 1   13. W  -0.9
 2458963.5 1   12. W  -0.9
 2458964.5 1   11. W  -1.0
 2458965.5 1   10. W  -1.1
 2458966.5 1    9. W  -1.2
 2458967.5 1    8. W  -1.4
 2458968.5 1    7. W  -1.5
 2458969.5 1    6. W  -1.6
 2458970.5 1    5. W  -1.8
 2458971.5 1    3. W  -1.9
 2458972.5 1    2. W  -2.1
 2458973.5 1    1. W  -2.3
 2458974.5 1    0. E  99.0
 2458975.5 1    1. E  -2.3
 2458976.5 1    3. E  -2.2
 2458977.5 1    4. E  -2.0
 2458978.5 1    5. E  -1.9
 2458979.5 1    6. E  -1.8
 2458980.5 1    7. E  -1.6
 2458981.5 1    9. E  -1.5
 2458982.5 1   10. E  -1.4
 2458983.5 1   11. E  -1.3
 2458984.5 1   12. E  -1.2
 2458985.5 1   13. E  -1.1
 2458986.5 1   14. E  -1.1
 2458987.5 1   15. E  -1.0
 2458988.5 1   16. E  -0.9
 2458989.5 1   17. E  -0.8
 2458990.5 1   18. E  -0.7
 2458991.5 1   18. E  -0.7
 2458992.5 1   19. E  -0.6
 2458993.5 1   20. E  -0.5
 2458994.5 1   20. E  -0.4
 2458995.5 1   21. E  -0.3
 2458996.5 1   21. E  -0.3
 2458997.5 1   22. E  -0.2
 2458998.5 1   22. E  -0.1
 2458999.5 1   23. E   0.0
 2459000.5 1   23. E   0.0
 2459001.5 1   23. E   0.1
 2459002.5 1   23. E   0.2
 2459003.5 1   24. E   0.3
 2459004.5 1   24. E   0.4
 2459005.5 1   24. E   0.5
 2459006.5 1   24. E   0.6
 2459007.5 1   23. E   0.7
 2459008.5 1   23. E   0.8
 2459009.5 1   23. E   0.9
 2459010.5 1   23. E   1.0
 2459011.5 1   22. E   1.1
 2459012.5 1   22. E   1.2
 2459013.5 1   21. E   1.4
 2459014.5 1   21. E   1.5
 2459015.5 1   20. E   1.7
 2459016.5 1   19. E   1.9
 2459017.5 1   18. E   2.1
 2459018.5 1   18. E   2.3
 2459019.5 1   17. E   2.5
 2459020.5 1   16. E   2.7
 2459021.5 1   15. E   3.0
 2459022.5 1   13. E   3.2
 2459023.5 1   12. E   3.5
 2459024.5 1   11. E   3.8
 2459025.5 1   10. E   4.1
 2459026.5 1    9. E   4.5
 2459027.5 1    7. E   4.8
 2459028.5 1    6. E   5.1
 2459029.5 1    5. E   5.4
 2459030.5 1    5. E  99.0
 2459031.5 1    4. W  99.0
 2459032.5 1    5. W   5.6
 2459033.5 1    5. W   5.3
 2459034.5 1    6. W   5.0
 2459035.5 1    8. W   4.6
 2459036.5 1    9. W   4.3
 2459037.5 1   10. W   3.9
 2459038.5 1   11. W   3.6
 2459039.5 1   12. W   3.2
 2459040.5 1   13. W   2.9
 2459041.5 1   14. W   2.6
 2459042.5 1   15. W   2.3
 2459043.5 1   16. W   2.1
 2459044.5 1   17. W   1.8
 2459045.5 1   18. W   1.6
 2459046.5 1   18. W   1.3
 2459047.5 1   19. W   1.1
 2459048.5 1   19. W   0.9
 2459049.5 1   20. W   0.8
 2459050.5 1   20. W   0.6
 2459051.5 1   20. W   0.4
 2459052.5 1   20. W   0.3
 2459053.5 1   20. W   0.1
 2459054.5 1   20. W   0.0
 2459055.5 1   20. W  -0.1
 2459056.5 1   20. W  -0.3
 2459057.5 1   19. W  -0.4
 2459058.5 1   19. W  -0.5
 2459059.5 1   18. W  -0.6
 2459060.5 1   18. W  -0.7
 2459061.5 1   17. W  -0.8
 2459062.5 1   17. W  -0.9
 2459063.5 1   16. W  -0.9
 2459064.5 1   15. W  -1.0
 2459065.5 1   14. W  -1.1
 2459066.5 1   13. W  -1.2
 2459067.5 1   12. W  -1.2
 2459068.5 1   11. W  -1.3
 2459069.5 1   10. W  -1.4
 2459070.5 1    9. W  -1.4
 2459071.5 1    8. W  -1.5
 2459072.5 1    7. W  -1.6
 2459073.5 1    6. W  -1.7
 2459074.5 1    5. W  -1.8
 2459075.5 1    4. W  -1.8
 2459076.5 1    3. W  -1.9
 2459077.5 1    2. W  -2.0
 2459078.5 1    2. W  -2.0
 2459079.5 1    2. E  -2.0
 2459080.5 1    2. E  -1.9
 2459081.5 1    3. E  -1.8
 2459082.5 1    4. E  -1.6
 2459083.5 1    5. E  -1.5
 2459084.5 1    6. E  -1.4
 2459085.5 1    6. E  -1.3
 2459086.5 1    7. E  -1.2
 2459087.5 1    8. E  -1.1
 2459088.5 1    9. E  -1.0
 2459089.5 1   10. E  -0.9
 2459090.5 1   11. E  -0.8
 2459091.5 1   11. E  -0.8
 2459092.5 1   12. E  -0.7
 2459093.5 1   13. E  -0.6
 2459094.5 1   14. E  -0.6
 2459095.5 1   14. E  -0.5
 2459096.5 1   15. E  -0.5
 2459097.5 1   16. E  -0.4
 2459098.5 1   16. E  -0.4
 2459099.5 1   17. E  -0.3
 2459100.5 1   18. E  -0.3
 2459101.5 1   18. E  -0.3
 2459102.5 1   19. E  -0.2
 2459103.5 1   19. E  -0.2
 2459104.5 1   20. E  -0.2
 2459105.5 1   20. E  -0.2
 2459106.5 1   21. E  -0.2
 2459107.5 1   21. E  -0.1
 2459108.5 1   22. E  -0.1
 2459109.5 1   22. E  -0.1
 2459110.5 1   23. E  -0.1
 2459111.5 1   23. E  -0.1
 2459112.5 1   23. E  -0.1
 2459113.5 1   24. E  -0.1
 2459114.5 1   24. E  -0.1
 2459115.5 1   24. E  -0.1
 2459116.5 1   25. E   0.0
 2459117.5 1   25. E   0.0
 2459118.5 1   25. E   0.0
 2459119.5 1   25. E   0.0
 2459120.5 1   26. E   0.0
 2459121.5 1   26. E   0.0
 2459122.5 1   26. E   0.0
 2459123.5 1   26. E   0.0
 2459124.5 1   26. E   0.0
 2459125.5 1   26. E   0.0
 2459126.5 1   26. E   0.0
 2459127.5 1   26. E   0.0
 2459128.5 1   25. E   0.0
 2459129.5 1   25. E   0.1
 2459130.5 1   25. E   0.1
 2459131.5 1   24. E   0.1
 2459132.5 1   24. E   0.2
 2459133.5 1   23. E   0.3
 2459134.5 1   23. E   0.3
 2459135.5 1   22. E   0.5
 2459136.5 1   21. E   0.6
 2459137.5 1   20. E   0.7
 2459138.5 1   19. E   0.9
 2459139.5 1   17. E   1.2
 2459140.5 1   16. E   1.5
 2459141.5 1   14. E   1.8
 2459142.5 1   12. E   2.3
 2459143.5 1   11. E   2.8
 2459144.5 1    9. E   3.4
 2459145.5 1    6. E   4.1
 2459146.5 1    4. E   4.9
 2459147.5 1    2. E  99.0
 2459148.5 1    1. W  99.0
 2459149.5 1    3. W  99.0
 2459150.5 1    5. W   4.5
 2459151.5 1    7. W   3.6
 2459152.5 1    9. W   2.8
 2459153.5 1   11. W   2.1
 2459154.5 1   12. W   1.6
 2459155.5 1   14. W   1.1
 2459156.5 1   15. W   0.7
 2459157.5 1   16. W   0.3
 2459158.5 1   17. W   0.1
 2459159.5 1   18. W  -0.1
 2459160.5 1   18. W  -0.3
 2459161.5 1   19. W  -0.4
 2459162.5 1   19. W  -0.5
 2459163.5 1   19. W  -0.6
 2459164.5 1   19. W  -0.6
 2459165.5 1   19. W  -0.7
 2459166.5 1   19. W  -0.7
 2459167.5 1   19. W  -0.7
 2459168.5 1   18. W  -0.7
 2459169.5 1   18. W  -0.7
 2459170.5 1   18. W  -0.7
 2459171.5 1   17. W  -0.7
 2459172.5 1   17. W  -0.7
 2459173.5 1   16. W  -0.7
 2459174.5 1   16. W  -0.7
 2459175.5 1   15. W  -0.7
 2459176.5 1   15. W  -0.7
 2459177.5 1   14. W  -0.7
 2459178.5 1   14. W  -0.7
 2459179.5 1   13. W  -0.7
 2459180.5 1   13. W  -0.7
 2459181.5 1   12. W  -0.7
 2459182.5 1   12. W  -0.7
 2459183.5 1   11. W  -0.7
 2459184.5 1   11. W  -0.8
 2459185.5 1   10. W  -0.8
 2459186.5 1    9. W  -0.8
 2459187.5 1    9. W  -0.8
 2459188.5 1    8. W  -0.8
 2459189.5 1    8. W  -0.9
 2459190.5 1    7. W  -0.9
 2459191.5 1    7. W  -0.9
 2459192.5 1    6. W  -0.9
 2459193.5 1    6. W  -1.0
 2459194.5 1    5. W  -1.0
 2459195.5 1    5. W  -1.0
 2459196.5 1    4. W  -1.1
 2459197.5 1    4. W  -1.1
 2459198.5 1    3. W  -1.2
 2459199.5 1    3. W  -1.2
 2459200.5 1    2. W  -1.2
 2459201.5 1    2. W  -1.3
 2459202.5 1    2. W  -1.3
 2459203.5 1    1. W  -1.3
 2459204.5 1    2. E  -1.3
 2459205.5 1    2. E  -1.3
 2459206.5 1    2. E  -1.3
 2459207.5 1    3. E  -1.2
 2459208.5 1    3. E  -1.2
 2459209.5 1    4. E  -1.2
 2459210.5 1    4. E  -1.1
 2459211.5 1    5. E  -1.1
 2459212.5 1    6. E  -1.1
 2459213.5 1    6. E  -1.0
 2459214.5 1    7. E  -1.0
 2459215.5 1    7. E  -1.0
 2459216.5 1    8. E  -1.0
 2459217.5 1    8. E  -1.0
 2459218.5 1    9. E  -0.9
 2459219.5 1   10. E  -0.9
 2459220.5 1   10. E  -0.9
 2459221.5 1   11. E  -0.9
 2459222.5 1   11. E  -0.9
 2459223.5 1   12. E  -0.9
 2459224.5 1   13. E  -0.9
 2459225.5 1   13. E  -0.9
 2459226.5 1   14. E  -0.9
 2459227.5 1   14. E  -0.9
 2458838.5 2   32. E  -3.9
 2458839.5 2   32. E  -3.9
 2458840.5 2   33. E  -3.9
 2458841.5 2   33. E  -3.9
 2458842.5 2   33. E  -3.9
