                                    Sun                                   
     
                       Apparent Geocentric Positions                      
                     True Equator and Equinox of Date                     
     
     Julian Date         Right Ascension     Declination        Distance
         (TT)  
          d                   h                  °                 AU
   2455197.208333           18.7363200       - 23.050309     0.983307117
   2455197.209028           18.7363711       - 23.050255     0.983307107
   2455197.209722           18.7364222       - 23.050201     0.983307096
   2455197.210417           18.7364734       - 23.050147     0.983307086
   2455197.211111           18.7365245       - 23.050093     0.983307075
   2455197.211806           18.7365756       - 23.050040     0.983307065
   2455197.212500           18.7366267       - 23.049986     0.983307054
   2455197.213194           18.7366778       - 23.049932     0.983307043
   2455197.213889           18.7367289       - 23.049878     0.983307033
   2455197.214583           18.7367800       - 23.049824     0.983307022
   2455197.215278           18.7368311       - 23.049770     0.983307012
   2455197.215972           18.7368823       - 23.049716     0.983307001
   2455197.216667           18.7369334       - 23.049662     0.983306990
   2455197.217361           18.7369845       - 23.049608     0.983306980
   2455197.218056           18.7370356       - 23.049554     0.983306969
   2455197.218750           18.7370867       - 23.049500     0.983306959
   2455197.219444           18.7371378       - 23.049446     0.983306948
   2455197.220139           18.7371889       - 23.049392     0.983306938
   2455197.220833           18.7372400       - 23.049339     0.983306927
   2455197.221528           18.7372911       - 23.049285     0.983306917
   2455197.222222           18.7373423       - 23.049231     0.983306906
   2455197.222917           18.7373934       - 23.049177     0.983306896
   2455197.223611           18.7374445       - 23.049123     0.983306885
   2455197.224306           18.7374956       - 23.049069     0.983306874
   2455197.225000           18.7375467       - 23.049015     0.983306864
   2455197.225694           18.7375978       - 23.048961     0.983306853
   2455197.226389           18.7376489       - 23.048907     0.983306843
   2455197.227083           18.7377000       - 23.048853     0.983306832
   2455197.227778           18.7377511       - 23.048799     0.983306822
   2455197.228472           18.7378022       - 23.048745     0.983306811
   2455197.229167           18.7378534       - 23.048691     0.983306801
   2455197.229861           18.7379045       - 23.048637     0.983306790
   2455197.230556           18.7379556       - 23.048583     0.983306780
   2455197.231250           18.7380067       - 23.048529     0.983306769
   2455197.231944           18.7380578       - 23.048475     0.983306759
   2455197.232639           18.7381089       - 23.048421     0.983306748
   2455197.233333           18.7381600       - 23.048367     0.983306738
   2455197.234028           18.7382111       - 23.048313     0.983306727
   2455197.234722           18.7382622       - 23.048259     0.983306717
   2455197.235417           18.7383133       - 23.048205     0.983306706
   2455197.236111           18.7383645       - 23.048151     0.983306696
   2455197.236806           18.7384156       - 23.048097     0.983306685
   2455197.237500           18.7384667       - 23.048043     0.983306675
   2455197.238194           18.7385178       - 23.047989     0.983306665
   2455197.238889           18.7385689       - 23.047935     0.983306654
   2455197.239583           18.7386200       - 23.047881     0.983306644
   2455197.240278           18.7386711       - 23.047827     0.983306633
   2455197.240972           18.7387222       - 23.047772     0.983306623
   2455197.241667           18.7387733       - 23.047718     0.983306612
   2455197.242361           18.7388244       - 23.047664     0.983306602
   2455197.243056           18.7388756       - 23.047610     0.983306591
   2455197.243750           18.7389267       - 23.047556     0.983306581
   2455197.244444           18.7389778       - 23.047502     0.983306570
   2455197.245139           18.7390289       - 23.047448     0.983306560
   2455197.245833           18.7390800       - 23.047394     0.983306550
   2455197.246528           18.7391311       - 23.047340     0.983306539
   2455197.247222           18.7391822       - 23.047286     0.983306529
   2455197.247917           18.7392333       - 23.047232     0.983306518
   2455197.248611           18.7392844       - 23.047178     0.983306508
   2455197.249306           18.7393355       - 23.047124     0.983306498
   2455197.250000           18.7393867       - 23.047069     0.983306487
   2455197.250694           18.7394378       - 23.047015     0.983306477
   2455197.251389           18.7394889       - 23.046961     0.983306466
   2455197.252083           18.7395400       - 23.046907     0.983306456
