                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
                 (Longitude referred to Ephemeris meridian)                  
     
                              Ephemeris                Local         Equation
     Julian Date            Sidereal Time          Sidereal Time       of the
         (TT)                  Mean    App.           Mean    App.   Equinoxes
          d              h  m   s       s       h  m   s       s        s
   2454857.687500       12 52 24.5595 25.4515  12 52 24.5595 25.4515  +0.8920
   2454857.688194       12 53 24.7238 25.6158  12 53 24.7238 25.6158  +0.8920
   2454857.688889       12 54 24.8880 25.7800  12 54 24.8880 25.7800  +0.8920
   2454857.689583       12 55 25.0523 25.9443  12 55 25.0523 25.9443  +0.8920
   2454857.690278       12 56 25.2166 26.1086  12 56 25.2166 26.1086  +0.8920
   2454857.690972       12 57 25.3809 26.2729  12 57 25.3809 26.2729  +0.8920
   2454857.691667       12 58 25.5452 26.4372  12 58 25.5452 26.4372  +0.8920
   2454857.692361       12 59 25.7094 26.6014  12 59 25.7094 26.6014  +0.8920
   2454857.693056       13 00 25.8737 26.7657  13 00 25.8737 26.7657  +0.8920
   2454857.693750       13 01 26.0380 26.9300  13 01 26.0380 26.9300  +0.8920
   2454857.694444       13 02 26.2023 27.0943  13 02 26.2023 27.0943  +0.8920
   2454857.695139       13 03 26.3665 27.2585  13 03 26.3665 27.2585  +0.8920
   2454857.695833       13 04 26.5308 27.4228  13 04 26.5308 27.4228  +0.8920
   2454857.696528       13 05 26.6951 27.5871  13 05 26.6951 27.5871  +0.8920
   2454857.697222       13 06 26.8593 27.7514  13 06 26.8593 27.7514  +0.8920
   2454857.697917       13 07 27.0236 27.9156  13 07 27.0236 27.9156  +0.8920
   2454857.698611       13 08 27.1879 28.0799  13 08 27.1879 28.0799  +0.8920
   2454857.699306       13 09 27.3522 28.2442  13 09 27.3522 28.2442  +0.8920
   2454857.700000       13 10 27.5165 28.4085  13 10 27.5165 28.4085  +0.8920
   2454857.700694       13 11 27.6807 28.5728  13 11 27.6807 28.5728  +0.8920
   2454857.701389       13 12 27.8450 28.7370  13 12 27.8450 28.7370  +0.8920
   2454857.702083       13 13 28.0093 28.9013  13 13 28.0093 28.9013  +0.8920
   2454857.702778       13 14 28.1735 29.0656  13 14 28.1735 29.0656  +0.8920
   2454857.703472       13 15 28.3378 29.2298  13 15 28.3378 29.2298  +0.8920
   2454857.704167       13 16 28.5021 29.3941  13 16 28.5021 29.3941  +0.8920
   2454857.704861       13 17 28.6664 29.5584  13 17 28.6664 29.5584  +0.8920
   2454857.705556       13 18 28.8306 29.7227  13 18 28.8306 29.7227  +0.8920
   2454857.706250       13 19 28.9949 29.8869  13 19 28.9949 29.8869  +0.8920
   2454857.706944       13 20 29.1592 30.0512  13 20 29.1592 30.0512  +0.8920
   2454857.707639       13 21 29.3235 30.2155  13 21 29.3235 30.2155  +0.8920
   2454857.708333       13 22 29.4878 30.3798  13 22 29.4878 30.3798  +0.8920
   2454857.709028       13 23 29.6520 30.5441  13 23 29.6520 30.5441  +0.8920
   2454857.709722       13 24 29.8163 30.7083  13 24 29.8163 30.7083  +0.8920
   2454857.710417       13 25 29.9806 30.8726  13 25 29.9806 30.8726  +0.8920
   2454857.711111       13 26 30.1448 31.0369  13 26 30.1448 31.0369  +0.8920
   2454857.711806       13 27 30.3091 31.2012  13 27 30.3091 31.2012  +0.8920
   2454857.712500       13 28 30.4734 31.3654  13 28 30.4734 31.3654  +0.8921
   2454857.713194       13 29 30.6377 31.5297  13 29 30.6377 31.5297  +0.8921
   2454857.713889       13 30 30.8019 31.6940  13 30 30.8019 31.6940  +0.8921
   2454857.714583       13 31 30.9662 31.8582  13 31 30.9662 31.8582  +0.8921
   2454857.715278       13 32 31.1305 32.0226  13 32 31.1305 32.0226  +0.8921
   2454857.715972       13 33 31.2948 32.1868  13 33 31.2948 32.1868  +0.8921
   2454857.716667       13 34 31.4590 32.3511  13 34 31.4590 32.3511  +0.8921
   2454857.717361       13 35 31.6233 32.5154  13 35 31.6233 32.5154  +0.8921
   2454857.718056       13 36 31.7876 32.6797  13 36 31.7876 32.6797  +0.8921
   2454857.718750       13 37 31.9519 32.8439  13 37 31.9519 32.8439  +0.8921
   2454857.719444       13 38 32.1161 33.0082  13 38 32.1161 33.0082  +0.8921
   2454857.720139       13 39 32.2804 33.1725  13 39 32.2804 33.1725  +0.8921
   2454857.720833       13 40 32.4447 33.3367  13 40 32.4447 33.3367  +0.8921
   2454857.721528       13 41 32.6089 33.5010  13 41 32.6089 33.5010  +0.8921
   2454857.722222       13 42 32.7732 33.6653  13 42 32.7732 33.6653  +0.8921
   2454857.722917       13 43 32.9375 33.8296  13 43 32.9375 33.8296  +0.8921
   2454857.723611       13 44 33.1018 33.9939  13 44 33.1018 33.9939  +0.8921
   2454857.724306       13 45 33.2661 34.1581  13 45 33.2661 34.1581  +0.8921
   2454857.725000       13 46 33.4303 34.3224  13 46 33.4303 34.3224  +0.8921
   2454857.725694       13 47 33.5946 34.4867  13 47 33.5946 34.4867  +0.8921
   2454857.726389       13 48 33.7589 34.6510  13 48 33.7589 34.6510  +0.8921
   2454857.727083       13 49 33.9232 34.8152  13 49 33.9232 34.8152  +0.8921
   2454857.727778       13 50 34.0874 34.9795  13 50 34.0874 34.9795  +0.8921
   2454857.728472       13 51 34.2517 35.1438  13 51 34.2517 35.1438  +0.8921
   2454857.729167       13 52 34.4160 35.3081  13 52 34.4160 35.3081  +0.8921
   2454857.729861       13 53 34.5802 35.4723  13 53 34.5802 35.4723  +0.8921
   2454857.730556       13 54 34.7445 35.6366  13 54 34.7445 35.6366  +0.8921
   2454857.731250       13 55 34.9088 35.8009  13 55 34.9088 35.8009  +0.8921
   2454857.731944       13 56 35.0731 35.9652  13 56 35.0731 35.9652  +0.8921
   2454857.732639       13 57 35.2374 36.1295  13 57 35.2374 36.1295  +0.8921
   2454857.733333       13 58 35.4016 36.2937  13 58 35.4016 36.2937  +0.8921
   2454857.734028       13 59 35.5659 36.4580  13 59 35.5659 36.4580  +0.8921
   2454857.734722       14 00 35.7302 36.6223  14 00 35.7302 36.6223  +0.8921
   2454857.735417       14 01 35.8944 36.7865  14 01 35.8944 36.7865  +0.8921
   2454857.736111       14 02 36.0587 36.9508  14 02 36.0587 36.9508  +0.8921
   2454857.736806       14 03 36.2230 37.1151  14 03 36.2230 37.1151  +0.8921
   2454857.737500       14 04 36.3873 37.2794  14 04 36.3873 37.2794  +0.8921
   2454857.738194       14 05 36.5515 37.4436  14 05 36.5515 37.4436  +0.8921
   2454857.738889       14 06 36.7158 37.6079  14 06 36.7158 37.6079  +0.8921
   2454857.739583       14 07 36.8801 37.7722  14 07 36.8801 37.7722  +0.8921
   2454857.740278       14 08 37.0444 37.9365  14 08 37.0444 37.9365  +0.8921
   2454857.740972       14 09 37.2087 38.1008  14 09 37.2087 38.1008  +0.8921
   2454857.741667       14 10 37.3729 38.2650  14 10 37.3729 38.2650  +0.8921
   2454857.742361       14 11 37.5372 38.4293  14 11 37.5372 38.4293  +0.8921
   2454857.743056       14 12 37.7015 38.5936  14 12 37.7015 38.5936  +0.8921
   2454857.743750       14 13 37.8657 38.7579  14 13 37.8657 38.7579  +0.8921
   2454857.744444       14 14 38.0300 38.9221  14 14 38.0300 38.9221  +0.8921
   2454857.745139       14 15 38.1943 39.0864  14 15 38.1943 39.0864  +0.8921
   2454857.745833       14 16 38.3585 39.2507  14 16 38.3585 39.2507  +0.8921
   2454857.746528       14 17 38.5229 39.4150  14 17 38.5229 39.4150  +0.8921
   2454857.747222       14 18 38.6871 39.5793  14 18 38.6871 39.5793  +0.8921
   2454857.747917       14 19 38.8514 39.7435  14 19 38.8514 39.7435  +0.8921
   2454857.748611       14 20 39.0157 39.9078  14 20 39.0157 39.9078  +0.8921
   2454857.749306       14 21 39.1799 40.0721  14 21 39.1799 40.0721  +0.8921
   2454857.750000       14 22 39.3442 40.2363  14 22 39.3442 40.2363  +0.8921
   2454857.750694       14 23 39.5085 40.4006  14 23 39.5085 40.4006  +0.8921
   2454857.751389       14 24 39.6728 40.5649  14 24 39.6728 40.5649  +0.8921
   2454857.752083       14 25 39.8370 40.7292  14 25 39.8370 40.7292  +0.8921
   2454857.752778       14 26 40.0013 40.8934  14 26 40.0013 40.8934  +0.8921
   2454857.753472       14 27 40.1656 41.0577  14 27 40.1656 41.0577  +0.8921
   2454857.754167       14 28 40.3299 41.2220  14 28 40.3299 41.2220  +0.8921
   2454857.754861       14 29 40.4942 41.3863  14 29 40.4942 41.3863  +0.8921
   2454857.755556       14 30 40.6584 41.5506  14 30 40.6584 41.5506  +0.8921
   2454857.756250       14 31 40.8227 41.7148  14 31 40.8227 41.7148  +0.8921
   2454857.756944       14 32 40.9870 41.8791  14 32 40.9870 41.8791  +0.8921
   2454857.757639       14 33 41.1512 42.0434  14 33 41.1512 42.0434  +0.8921
   2454857.758333       14 34 41.3155 42.2077  14 34 41.3155 42.2077  +0.8922
   2454857.759028       14 35 41.4798 42.3719  14 35 41.4798 42.3719  +0.8922
   2454857.759722       14 36 41.6440 42.5362  14 36 41.6440 42.5362  +0.8922
   2454857.760417       14 37 41.8083 42.7005  14 37 41.8083 42.7005  +0.8922
   2454857.761111       14 38 41.9726 42.8647  14 38 41.9726 42.8647  +0.8922
   2454857.761806       14 39 42.1369 43.0291  14 39 42.1369 43.0291  +0.8922
   2454857.762500       14 40 42.3012 43.1933  14 40 42.3012 43.1933  +0.8922
   2454857.763194       14 41 42.4654 43.3576  14 41 42.4654 43.3576  +0.8922
   2454857.763889       14 42 42.6297 43.5219  14 42 42.6297 43.5219  +0.8922
   2454857.764583       14 43 42.7940 43.6862  14 43 42.7940 43.6862  +0.8922
   2454857.765278       14 44 42.9583 43.8504  14 44 42.9583 43.8504  +0.8922
   2454857.765972       14 45 43.1225 44.0147  14 45 43.1225 44.0147  +0.8922
   2454857.766667       14 46 43.2868 44.1790  14 46 43.2868 44.1790  +0.8922
   2454857.767361       14 47 43.4511 44.3432  14 47 43.4511 44.3432  +0.8922
   2454857.768056       14 48 43.6153 44.5075  14 48 43.6153 44.5075  +0.8922
   2454857.768750       14 49 43.7796 44.6718  14 49 43.7796 44.6718  +0.8922
   2454857.769444       14 50 43.9439 44.8361  14 50 43.9439 44.8361  +0.8922
   2454857.770139       14 51 44.1082 45.0004  14 51 44.1082 45.0004  +0.8922
   2454857.770833       14 52 44.2725 45.1646  14 52 44.2725 45.1646  +0.8922
   2454857.771528       14 53 44.4367 45.3289  14 53 44.4367 45.3289  +0.8922
   2454857.772222       14 54 44.6010 45.4932  14 54 44.6010 45.4932  +0.8922
   2454857.772917       14 55 44.7653 45.6575  14 55 44.7653 45.6575  +0.8922
   2454857.773611       14 56 44.9295 45.8217  14 56 44.9295 45.8217  +0.8922
   2454857.774306       14 57 45.0938 45.9860  14 57 45.0938 45.9860  +0.8922
   2454857.775000       14 58 45.2581 46.1503  14 58 45.2581 46.1503  +0.8922
   2454857.775694       14 59 45.4224 46.3145  14 59 45.4224 46.3145  +0.8922
   2454857.776389       15 00 45.5866 46.4788  15 00 45.5866 46.4788  +0.8922
   2454857.777083       15 01 45.7509 46.6431  15 01 45.7509 46.6431  +0.8922
   2454857.777778       15 02 45.9152 46.8074  15 02 45.9152 46.8074  +0.8922
   2454857.778472       15 03 46.0795 46.9717  15 03 46.0795 46.9717  +0.8922
   2454857.779167       15 04 46.2438 47.1360  15 04 46.2438 47.1360  +0.8922
   2454857.779861       15 05 46.4080 47.3002  15 05 46.4080 47.3002  +0.8922
   2454857.780556       15 06 46.5723 47.4645  15 06 46.5723 47.4645  +0.8922
   2454857.781250       15 07 46.7366 47.6288  15 07 46.7366 47.6288  +0.8922
   2454857.781944       15 08 46.9008 47.7930  15 08 46.9008 47.7930  +0.8922
   2454857.782639       15 09 47.0651 47.9573  15 09 47.0651 47.9573  +0.8922
   2454857.783333       15 10 47.2294 48.1216  15 10 47.2294 48.1216  +0.8922
   2454857.784028       15 11 47.3937 48.2859  15 11 47.3937 48.2859  +0.8922
   2454857.784722       15 12 47.5579 48.4501  15 12 47.5579 48.4501  +0.8922
   2454857.785417       15 13 47.7222 48.6144  15 13 47.7222 48.6144  +0.8922
   2454857.786111       15 14 47.8865 48.7787  15 14 47.8865 48.7787  +0.8922
   2454857.786806       15 15 48.0508 48.9430  15 15 48.0508 48.9430  +0.8922
   2454857.787500       15 16 48.2150 49.1073  15 16 48.2150 49.1073  +0.8922
   2454857.788194       15 17 48.3793 49.2715  15 17 48.3793 49.2715  +0.8922
   2454857.788889       15 18 48.5436 49.4358  15 18 48.5436 49.4358  +0.8922
   2454857.789583       15 19 48.7079 49.6001  15 19 48.7079 49.6001  +0.8922
   2454857.790278       15 20 48.8721 49.7644  15 20 48.8721 49.7644  +0.8922
   2454857.790972       15 21 49.0364 49.9286  15 21 49.0364 49.9286  +0.8922
   2454857.791667       15 22 49.2007 50.0929  15 22 49.2007 50.0929  +0.8922
   2454857.792361       15 23 49.3649 50.2572  15 23 49.3649 50.2572  +0.8922
   2454857.793056       15 24 49.5293 50.4215  15 24 49.5293 50.4215  +0.8922
   2454857.793750       15 25 49.6935 50.5858  15 25 49.6935 50.5858  +0.8922
   2454857.794444       15 26 49.8578 50.7500  15 26 49.8578 50.7500  +0.8922
   2454857.795139       15 27 50.0221 50.9143  15 27 50.0221 50.9143  +0.8922
   2454857.795833       15 28 50.1863 51.0786  15 28 50.1863 51.0786  +0.8922
   2454857.796528       15 29 50.3506 51.2428  15 29 50.3506 51.2428  +0.8922
   2454857.797222       15 30 50.5149 51.4071  15 30 50.5149 51.4071  +0.8922
   2454857.797917       15 31 50.6792 51.5714  15 31 50.6792 51.5714  +0.8922
