   2456599.877778       11 55 09.0419 09.5878  11 55 09.0419 09.5878  +0.5459
   2456599.878472       11 56 09.2062 09.7521  11 56 09.2062 09.7521  +0.5459
   2456599.879167       11 57 09.3705 09.9164  11 57 09.3705 09.9164  +0.5459
   2456599.879861       11 58 09.5347 10.0806  11 58 09.5347 10.0806  +0.5459
   2456599.880556       11 59 09.6990 10.2449  11 59 09.6990 10.2449  +0.5459
   2456599.881250       12 00 09.8633 10.4092  12 00 09.8633 10.4092  +0.5459
   2456599.881945       12 01 10.0276 10.5735  12 01 10.0276 10.5735  +0.5459
   2456599.882639       12 02 10.1919 10.7378  12 02 10.1919 10.7378  +0.5459
   2456599.883334       12 03 10.3561 10.9020  12 03 10.3561 10.9020  +0.5459
   2456599.884028       12 04 10.5204 11.0663  12 04 10.5204 11.0663  +0.5459
   2456599.884722       12 05 10.6847 11.2306  12 05 10.6847 11.2306  +0.5459
   2456599.885417       12 06 10.8489 11.3948  12 06 10.8489 11.3948  +0.5459
   2456599.886111       12 07 11.0132 11.5591  12 07 11.0132 11.5591  +0.5459
   2456599.886806       12 08 11.1775 11.7234  12 08 11.1775 11.7234  +0.5459
   2456599.887500       12 09 11.3418 11.8877  12 09 11.3418 11.8877  +0.5459
   2456599.888195       12 10 11.5060 12.0519  12 10 11.5060 12.0519  +0.5459
   2456599.888889       12 11 11.6703 12.2162  12 11 11.6703 12.2162  +0.5459
   2456599.889584       12 12 11.8346 12.3805  12 12 11.8346 12.3805  +0.5459
   2456599.890278       12 13 11.9989 12.5448  12 13 11.9989 12.5448  +0.5459
   2456599.890972       12 14 12.1631 12.7090  12 14 12.1631 12.7090  +0.5459
   2456599.891667       12 15 12.3274 12.8733  12 15 12.3274 12.8733  +0.5459
   2456599.892361       12 16 12.4917 13.0376  12 16 12.4917 13.0376  +0.5459
   2456599.893056       12 17 12.6560 13.2019  12 17 12.6560 13.2019  +0.5459
   2456599.893750       12 18 12.8202 13.3661  12 18 12.8202 13.3661  +0.5459
   2456599.894445       12 19 12.9845 13.5304  12 19 12.9845 13.5304  +0.5459
   2456599.895139       12 20 13.1488 13.6947  12 20 13.1488 13.6947  +0.5459
   2456599.895834       12 21 13.3130 13.8589  12 21 13.3130 13.8589  +0.5459
   2456599.896528       12 22 13.4773 14.0232  12 22 13.4773 14.0232  +0.5459
   2456599.897222       12 23 13.6416 14.1875  12 23 13.6416 14.1875  +0.5459
   2456599.897917       12 24 13.8059 14.3518  12 24 13.8059 14.3518  +0.5459
   2456599.898611       12 25 13.9702 14.5161  12 25 13.9702 14.5161  +0.5459
   2456599.899306       12 26 14.1344 14.6803  12 26 14.1344 14.6803  +0.5459
   2456599.900000       12 27 14.2987 14.8446  12 27 14.2987 14.8446  +0.5459
   2456599.900695       12 28 14.4630 15.0089  12 28 14.4630 15.0089  +0.5459
   2456599.901389       12 29 14.6273 15.1731  12 29 14.6273 15.1731  +0.5459
   2456599.902084       12 30 14.7915 15.3374  12 30 14.7915 15.3374  +0.5459
   2456599.902778       12 31 14.9558 15.5017  12 31 14.9558 15.5017  +0.5459
   2456599.903472       12 32 15.1201 15.6660  12 32 15.1201 15.6660  +0.5459
   2456599.904167       12 33 15.2843 15.8302  12 33 15.2843 15.8302  +0.5459
   2456599.904861       12 34 15.4486 15.9945  12 34 15.4486 15.9945  +0.5459
   2456599.905556       12 35 15.6129 16.1588  12 35 15.6129 16.1588  +0.5459
   2456599.906250       12 36 15.7772 16.3231  12 36 15.7772 16.3231  +0.5459
   2456599.906945       12 37 15.9415 16.4873  12 37 15.9415 16.4873  +0.5459
   2456599.907639       12 38 16.1057 16.6516  12 38 16.1057 16.6516  +0.5459
   2456599.908334       12 39 16.2700 16.8159  12 39 16.2700 16.8159  +0.5459
   2456599.909028       12 40 16.4343 16.9802  12 40 16.4343 16.9802  +0.5459
   2456599.909722       12 41 16.5985 17.1444  12 41 16.5985 17.1444  +0.5459
   2456599.910417       12 42 16.7628 17.3087  12 42 16.7628 17.3087  +0.5459
   2456599.911111       12 43 16.9271 17.4730  12 43 16.9271 17.4730  +0.5459
   2456599.911806       12 44 17.0914 17.6372  12 44 17.0914 17.6372  +0.5459
   2456599.912500       12 45 17.2556 17.8015  12 45 17.2556 17.8015  +0.5459
   2456599.913195       12 46 17.4199 17.9658  12 46 17.4199 17.9658  +0.5459
   2456599.913889       12 47 17.5842 18.1301  12 47 17.5842 18.1301  +0.5459
   2456599.914584       12 48 17.7485 18.2944  12 48 17.7485 18.2944  +0.5459
   2456599.915278       12 49 17.9128 18.4586  12 49 17.9128 18.4586  +0.5459
   2456599.915972       12 50 18.0770 18.6229  12 50 18.0770 18.6229  +0.5459
   2456599.916667       12 51 18.2413 18.7872  12 51 18.2413 18.7872  +0.5459
   2456599.917361       12 52 18.4056 18.9514  12 52 18.4056 18.9514  +0.5459
   2456599.918056       12 53 18.5698 19.1157  12 53 18.5698 19.1157  +0.5459
   2456599.918750       12 54 18.7341 19.2800  12 54 18.7341 19.2800  +0.5459
   2456599.919445       12 55 18.8984 19.4443  12 55 18.8984 19.4443  +0.5459
   2456599.920139       12 56 19.0627 19.6085  12 56 19.0627 19.6085  +0.5459
   2456599.920834       12 57 19.2270 19.7728  12 57 19.2270 19.7728  +0.5459
   2456599.921528       12 58 19.3912 19.9371  12 58 19.3912 19.9371  +0.5459
   2456599.922222       12 59 19.5555 20.1014  12 59 19.5555 20.1014  +0.5459
   2456599.922917       13 00 19.7198 20.2656  13 00 19.7198 20.2656  +0.5459
   2456599.923611       13 01 19.8840 20.4299  13 01 19.8840 20.4299  +0.5459
   2456599.924306       13 02 20.0483 20.5942  13 02 20.0483 20.5942  +0.5459
   2456599.925000       13 03 20.2126 20.7585  13 03 20.2126 20.7585  +0.5459
   2456599.925695       13 04 20.3769 20.9227  13 04 20.3769 20.9227  +0.5459
   2456599.926389       13 05 20.5411 21.0870  13 05 20.5411 21.0870  +0.5459
   2456599.927084       13 06 20.7054 21.2513  13 06 20.7054 21.2513  +0.5459
   2456599.927778       13 07 20.8697 21.4155  13 07 20.8697 21.4155  +0.5459
   2456599.928472       13 08 21.0339 21.5798  13 08 21.0339 21.5798  +0.5459
   2456599.929167       13 09 21.1983 21.7441  13 09 21.1983 21.7441  +0.5459
   2456599.929861       13 10 21.3625 21.9084  13 10 21.3625 21.9084  +0.5459
   2456599.930556       13 11 21.5268 22.0727  13 11 21.5268 22.0727  +0.5459
   2456599.931250       13 12 21.6911 22.2369  13 12 21.6911 22.2369  +0.5459
   2456599.931945       13 13 21.8553 22.4012  13 13 21.8553 22.4012  +0.5459
   2456599.932639       13 14 22.0196 22.5655  13 14 22.0196 22.5655  +0.5459
   2456599.933334       13 15 22.1839 22.7297  13 15 22.1839 22.7297  +0.5459
   2456599.934028       13 16 22.3482 22.8940  13 16 22.3482 22.8940  +0.5459
   2456599.934722       13 17 22.5124 23.0583  13 17 22.5124 23.0583  +0.5459
   2456599.935417       13 18 22.6767 23.2225  13 18 22.6767 23.2225  +0.5459
   2456599.936111       13 19 22.8410 23.3868  13 19 22.8410 23.3868  +0.5459
   2456599.936806       13 20 23.0053 23.5511  13 20 23.0053 23.5511  +0.5459
   2456599.937500       13 21 23.1695 23.7154  13 21 23.1695 23.7154  +0.5459
   2456599.938195       13 22 23.3338 23.8797  13 22 23.3338 23.8797  +0.5459
   2456599.938889       13 23 23.4981 24.0439  13 23 23.4981 24.0439  +0.5459
   2456599.939584       13 24 23.6624 24.2082  13 24 23.6624 24.2082  +0.5459
   2456599.940278       13 25 23.8266 24.3725  13 25 23.8266 24.3725  +0.5459
   2456599.940972       13 26 23.9909 24.5368  13 26 23.9909 24.5368  +0.5459
   2456599.941667       13 27 24.1552 24.7010  13 27 24.1552 24.7010  +0.5459
   2456599.942361       13 28 24.3194 24.8653  13 28 24.3194 24.8653  +0.5459
   2456599.943056       13 29 24.4837 25.0296  13 29 24.4837 25.0296  +0.5459
   2456599.943750       13 30 24.6480 25.1938  13 30 24.6480 25.1938  +0.5459
   2456599.944445       13 31 24.8123 25.3581  13 31 24.8123 25.3581  +0.5458
   2456599.945139       13 32 24.9766 25.5224  13 32 24.9766 25.5224  +0.5458
   2456599.945834       13 33 25.1408 25.6867  13 33 25.1408 25.6867  +0.5458
   2456599.946528       13 34 25.3051 25.8510  13 34 25.3051 25.8510  +0.5458
   2456599.947222       13 35 25.4694 26.0152  13 35 25.4694 26.0152  +0.5458
   2456599.947917       13 36 25.6337 26.1795  13 36 25.6337 26.1795  +0.5458
   2456599.948611       13 37 25.7979 26.3438  13 37 25.7979 26.3438  +0.5458
   2456599.949306       13 38 25.9622 26.5080  13 38 25.9622 26.5080  +0.5458
   2456599.950000       13 39 26.1265 26.6723  13 39 26.1265 26.6723  +0.5458
   2456599.950695       13 40 26.2907 26.8366  13 40 26.2907 26.8366  +0.5458
   2456599.951389       13 41 26.4550 27.0008  13 41 26.4550 27.0008  +0.5458
   2456599.952084       13 42 26.6193 27.1652  13 42 26.6193 27.1652  +0.5458
   2456599.952778       13 43 26.7836 27.3294  13 43 26.7836 27.3294  +0.5458
   2456599.953472       13 44 26.9479 27.4937  13 44 26.9479 27.4937  +0.5458
