1	1	1	1	1	1	1	1	65.	0.91975069787708
7	-2.9923783917417572	3.2098594839058827
-0.16435735977076085	0.4845191399574171	-0.00003739551227694896	-5.3781948451290805e-6
0.3688861084066467	0.14049618882611586	0.00011694064797535564	-1.7034364285163253e-6
282.6703177505055	14.99759135767629	2.254440096537402e-6	-1.3259467249348756e-8
-0.36047175126784486	0.00011896780486319473	9.351935163956253e-8
0.9327701306073894	0.00004597538081845522	2.741674054995635e-8
0.5747003947087154	0.00003686165044002195	-9.92988436842371e-6
0.028173499541691908	0.000036678025346139674	-9.880410682560393e-6
0.004754582637486847	0.004730894420441542	0.261757358734952	0.00012756334510882642
2.455211670456456e6	30	26.751987002097763	-1	-19.46178016871043
2.455211921938543e6	108	11.342354336115932	28	47.86744985669024
2.455211784781346e6	16	57.420779509935684	49	44.18658033619067
2.4552118074032757e6	78	36.517148299595306	68	43.885068153096256
2.455211720539148e6	15	38.52700362330452	6	58.343863141687976
2.455211871795183e6	121	40.954742792320644	36	49.31525525052493
2.455211718014831e6	16	18.029375277775088	6	20.06998495024641
2.455211874334155e6	121	9.125177152086508	36	12.483078131940175
2.4552117230779165e6	14	59.716651506387564	7	39.05522989034466
2.455211869242234e6	122	11.207051310358906	37	28.420917161698895
2.455211805801117e6	72	14.52583699558943	3	30.88050588840843
2.4552117962175338e6	69	17.451360611960922	1	37.08512835920376
