1	0	0	0	0	0	0	0	65.	0.9048897906404475
6	-1.6951394308292669	2.371623475996983
-0.299587523216274	0.5729071115993731	0.000020002804442321183	-9.403052071657395e-6
-1.0287977603965857	-0.057873553095600175	0.00021056233847222808	8.343345245396509e-7
273.29857179288155	14.998397966152675	-2.6012958398851196e-6	-2.387201562531474e-8
-0.35309849924748526	-0.00013226340837343796	8.569891150010873e-8
0.9355861530662016	-0.00004991735326811706	2.167639819571662e-8
0.5406288826553808	0.00008171566228441957	-0.00001277212739769164
999.	999.	999
0.004736107120756599	999.	0.26177139689447804	-0.00014131006195876748
2.4558906828414625e6	5	41.53538023611888	-34	-46.70423219500208
2.4558908453454142e6	164	33.868239469671266	-44	-59.08799457169707
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.3536034472825355e6	999.	999.	999.	999.
2.455890764105405e6	-82	-32.34151487526617	-68	-34.62702526833709
