Ene.&-1&  7&30&01.1&$-$& 1&18&05.5&4.9501754&Jul.& 2& 24&23&11.9&$-$& 1&15&57.4&4.9517237 \\       
    & 3&  7&52&02.2&$-$& 1&18&07.1&4.9499961&    & 6& 24&45&12.0&$-$& 1&15&50.1&4.9519787 \\       
    & 7&  8&14&03.4&$-$& 1&18&08.4&4.9498262&    &10& 25&07&12.0&$-$& 1&15&42.7&4.9522430 \\       
    &11&  8&36&04.7&$-$& 1&18&09.5&4.9496658&    &14& 25&29&11.9&$-$& 1&15&35.1&4.9525167 \\       
    &15&  8&58&06.1&$-$& 1&18&10.5&4.9495148&    &18& 25&51&11.6&$-$& 1&15&27.3&4.9527996 \\[1.0ex]
    &19&  9&20&07.5&$-$& 1&18&11.3&4.9493733&    &22& 26&13&11.2&$-$& 1&15&19.3&4.9530918 \\       
    &23&  9&42&09.1&$-$& 1&18&11.8&4.9492412&    &26& 26&35&10.6&$-$& 1&15&11.1&4.9533933 \\       
    &27& 10&04&10.7&$-$& 1&18&12.2&4.9491186&    &30& 26&57&09.8&$-$& 1&15&02.8&4.9537040 \\       
    &31& 10&26&12.3&$-$& 1&18&12.4&4.9490054&Agt.& 3& 27&19&08.9&$-$& 1&14&54.3&4.9540239 \\       
Feb.& 4& 10&48&14.1&$-$& 1&18&12.4&4.9489017&    & 7& 27&41&07.7&$-$& 1&14&45.6&4.9543531 \\[1.0ex]
    & 8& 11&10&15.8&$-$& 1&18&12.2&4.9488075&    &11& 28&03&06.4&$-$& 1&14&36.7&4.9546915 \\       
    &12& 11&32&17.6&$-$& 1&18&11.8&4.9487228&    &15& 28&25&05.0&$-$& 1&14&27.6&4.9550390 \\       
    &16& 11&54&19.5&$-$& 1&18&11.2&4.9486476&    &19& 28&47&03.3&$-$& 1&14&18.3&4.9553958 \\       
    &20& 12&16&21.4&$-$& 1&18&10.4&4.9485819&    &23& 29&09&01.4&$-$& 1&14&08.9&4.9557617 \\       
    &24& 12&38&23.3&$-$& 1&18&09.4&4.9485256&    &27& 29&30&59.4&$-$& 1&13&59.3&4.9561367 \\[1.0ex]
    &28& 13&00&25.3&$-$& 1&18&08.3&4.9484788&    &31& 29&52&57.1&$-$& 1&13&49.5&4.9565209 \\       
Mar.& 4& 13&22&27.3&$-$& 1&18&06.9&4.9484416&Sep.& 4& 30&14&54.6&$-$& 1&13&39.5&4.9569142 \\       
    & 8& 13&44&29.3&$-$& 1&18&05.4&4.9484138&    & 8& 30&36&51.9&$-$& 1&13&29.3&4.9573166 \\       
    &12& 14&06&31.3&$-$& 1&18&03.6&4.9483955&    &12& 30&58&49.0&$-$& 1&13&19.0&4.9577281 \\       
