Ene.&-1&292&50&46.6&$-$& 1&39&04.5&1.4144995&Jul.& 2& 46&04&39.8&$-$& 0&06&54.8&1.4631514 \\       
    & 3&295&16&29.4&$-$& 1&41&06.3&1.4109854&    & 6& 48&19&56.5&$-$& 0&02&32.9&1.4680961 \\       
    & 7&297&42&55.1&$-$& 1&42&57.7&1.4076386&    &10& 50&34&18.3&$+$& 0&01&47.4&1.4731043 \\       
    &11&300&10&01.9&$-$& 1&44&38.4&1.4044661&    &14& 52&47&45.2&$+$& 0&06&05.8&1.4781678 \\       
    &15&302&37&47.8&$-$& 1&46&07.9&1.4014744&    &18& 55&00&17.2&$+$& 0&10&21.9&1.4832786 \\[1.0ex]
    &19&305&06&10.6&$-$& 1&47&26.0&1.3986699&    &22& 57&11&54.4&$+$& 0&14&35.3&1.4884289 \\       
    &23&307&35&08.2&$-$& 1&48&32.3&1.3960585&    &26& 59&22&37.1&$+$& 0&18&45.7&1.4936109 \\       
    &27&310&04&38.2&$-$& 1&49&26.6&1.3936459&    &30& 61&32&25.5&$+$& 0&22&52.7&1.4988167 \\       
    &31&312&34&38.2&$-$& 1&50&08.6&1.3914373&Agt.& 3& 63&41&19.9&$+$& 0&26&56.1&1.5040389 \\       
Feb.& 4&315&05&05.5&$-$& 1&50&38.1&1.3894376&    & 7& 65&49&21.0&$+$& 0&30&55.5&1.5092699 \\[1.0ex]
    & 8&317&35&57.5&$-$& 1&50&54.9&1.3876512&    &11& 67&56&29.0&$+$& 0&34&50.7&1.5145025 \\       
    &12&320&07&11.5&$-$& 1&50&58.9&1.3860822&    &15& 70&02&44.8&$+$& 0&38&41.5&1.5197295 \\       
    &16&322&38&44.6&$-$& 1&50&50.0&1.3847341&    &19& 72&08&08.8&$+$& 0&42&27.7&1.5249438 \\       
    &20&325&10&33.9&$-$& 1&50&28.1&1.3836099&    &23& 74&12&41.9&$+$& 0&46&08.9&1.5301388 \\       
    &24&327&42&36.5&$-$& 1&49&53.3&1.3827122&    &27& 76&16&24.7&$+$& 0&49&45.0&1.5353075 \\[1.0ex]
    &28&330&14&49.4&$-$& 1&49&05.5&1.3820432&    &31& 78&19&18.0&$+$& 0&53&15.9&1.5404436 \\       
Mar.& 4&332&47&09.4&$-$& 1&48&04.8&1.3816042&Sep.& 4& 80&21&22.8&$+$& 0&56&41.3&1.5455408 \\       
    & 8&335&19&33.6&$-$& 1&46&51.4&1.3813964&    & 8& 82&22&39.8&$+$& 1&00&01.1&1.5505927 \\       
    &12&337&51&58.7&$-$& 1&45&25.4&1.3814203&    &12& 84&23&10.0&$+$& 1&03&15.2&1.5555935 \\       
    &16&340&24&21.8&$-$& 1&43&47.0&1.3816757&    &16& 86&22&54.3&$+$& 1&06&23.5&1.5605373 \\[1.0ex]
    &20&342&56&39.7&$-$& 1&41&56.4&1.3821623&    &20& 88&21&53.9&$+$& 1&09&25.8&1.5654185 \\       
