Jul.& 2& 69&37&08.4&$-$& 0&25&25.5&0.7210277&Oct.& 2&218&30&21.6&$+$& 2&06&16.4&0.7230177 \\       
    & 4& 72&50&21.4&$-$& 0&14&01.2&0.7207908&    & 4&221&42&36.8&$+$& 1&57&08.4&0.7232901 \\       
    & 6& 76&03&41.6&$-$& 0&02&33.7&0.7205618&    & 6&224&54&41.3&$+$& 1&47&38.8&0.7235626 \\       
    & 8& 79&17&09.0&$+$& 0&08&54.6&0.7203415&    & 8&228&06&35.0&$+$& 1&37&49.6&0.7238342 \\       
    &10& 82&30&43.5&$+$& 0&20&21.7&0.7201305&    &10&231&18&18.2&$+$& 1&27&42.5&0.7241041 \\[1.0ex]
    &12& 85&44&25.2&$+$& 0&31&45.3&0.7199296&    &12&234&29&51.2&$+$& 1&17&19.6&0.7243716 \\       
    &14& 88&58&13.8&$+$& 0&43&03.3&0.7197393&    &14&237&41&14.1&$+$& 1&06&42.7&0.7246357 \\       
    &16& 92&12&09.4&$+$& 0&54&13.3&0.7195604&    &16&240&52&27.4&$+$& 0&55&53.9&0.7248957 \\       
    &18& 95&26&11.8&$+$& 1&05&13.3&0.7193932&    &18&244&03&31.3&$+$& 0&44&55.2&0.7251507 \\       
    &20& 98&40&20.8&$+$& 1&16&01.2&0.7192385&    &20&247&14&26.3&$+$& 0&33&48.7&0.7254000 \\[1.0ex]
    &22&101&54&36.1&$+$& 1&26&34.8&0.7190967&    &22&250&25&12.7&$+$& 0&22&36.3&0.7256428 \\       
    &24&105&08&57.7&$+$& 1&36&52.0&0.7189682&    &24&253&35&51.2&$+$& 0&11&20.3&0.7258783 \\       
    &26&108&23&25.1&$+$& 1&46&50.8&0.7188535&    &26&256&46&22.1&$+$& 0&00&02.5&0.7261058 \\       
    &28&111&37&58.1&$+$& 1&56&29.3&0.7187529&    &28&259&56&45.9&$-$& 0&11&14.8&0.7263246 \\       
    &30&114&52&36.3&$+$& 2&05&45.7&0.7186668&    &30&263&07&03.3&$-$& 0&22&29.6&0.7265341 \\[1.0ex]
Agt.& 1&118&07&19.3&$+$& 2&14&37.9&0.7185954&Nov.& 1&266&17&14.7&$-$& 0&33&40.0&0.7267336 \\       
    & 3&121&22&06.7&$+$& 2&23&04.4&0.7185390&    & 3&269&27&20.8&$-$& 0&44&43.8&0.7269225 \\       
    & 5&124&36&58.0&$+$& 2&31&03.3&0.7184978&    & 5&272&37&22.0&$-$& 0&55&39.1&0.7271002 \\       
    & 7&127&51&52.7&$+$& 2&38&33.3&0.7184718&    & 7&275&47&19.0&$-$& 1&06&23.8&0.7272662 \\       
    & 9&131&06&50.3&$+$& 2&45&32.7&0.7184613&    & 9&278&57&12.3&$-$& 1&16&56.2&0.7274200 \\[1.0ex]
    &11&134&21&50.2&$+$& 2&52&00.3&0.7184661&    &11&282&07&02.6&$-$& 1&27&14.2&0.7275611 \\       
    &13&137&36&51.8&$+$& 2&57&54.7&0.7184864&    &13&285&16&50.4&$-$& 1&37&16.0&0.7276891 \\       
    &15&140&51&54.5&$+$& 3&03&14.8&0.7185220&    &15&288&26&36.2&$-$& 1&46&59.9&0.7278035 \\       
    &17&144&06&57.5&$+$& 3&07&59.5&0.7185728&    &17&291&36&20.6&$-$& 1&56&24.1&0.7279042 \\       
    &19&147&22&00.4&$+$& 3&12&07.9&0.7186387&    &19&294&46&04.2&$-$& 2&05&26.8&0.7279906 \\[1.0ex]
    &21&150&37&02.3&$+$& 3&15&39.3&0.7187195&    &21&297&55&47.4&$-$& 2&14&06.6&0.7280627 \\       
    &23&153&52&02.6&$+$& 3&18&33.0&0.7188148&    &23&301&05&30.8&$-$& 2&22&21.8&0.7281201 \\       
    &25&157&07&00.5&$+$& 3&20&48.4&0.7189244&    &25&304&15&14.8&$-$& 2&30&10.9&0.7281627 \\       
    &27&160&21&55.5&$+$& 3&22&25.1&0.7190480&    &27&307&24&59.9&$-$& 2&37&32.6&0.7281904 \\       
    &29&163&36&46.7&$+$& 3&23&22.8&0.7191850&    &29&310&34&46.6&$-$& 2&44&25.6&0.7282030 \\[1.0ex]
