1	1	1	1	0	0	0	0	70.	1.0234021392989714
19	-2.1632557655871785	2.926964552812947
-0.204494293743476	0.5662096917701682	0.000026901289829127178	-8.80421365523559e-6
-0.6505850955929727	0.010635161158509135	-0.00012725650277707777	-2.6383277702921524e-7
103.97891052099581	14.999506762045693	1.0665627867838155e-6	-2.169253874968163e-8
0.3909381721554253	-0.00005120052304248841	-8.886746386877207e-8
0.9204169411560006	0.000021746905809299476	3.6057958070160524e-8
0.5376529051568651	-0.00009028039743111557	-0.000012040871517132475
-0.008689015660161857	-0.0000898305885273042	-0.000011980880540892361
0.00459846353666737	0.00457555316728912	0.2617907931168725	-0.00005570096082429911
2.458667205003258e6	-151	-56.11085844831791	-23	-53.252130822895154
2.4586674101512767e6	-66	-29.297855348716553	-21	-57.54667152962952
2.3562643016541605e6	999.	999.	999.	999.
2.3562643016541605e6	999.	999.	999.	999.
2.458667251610307e6	-160	-25.101496134086574	-37	-39.79185324571745
2.458667363596591e6	-57	-42.31059402679577	-35	-47.90592895921833
2.4586672507795384e6	-160	-22.64902815180733	-37	-18.075674318027524
2.4586673644531253e6	-57	-45.593191565047846	-35	-25.345592177804406
2.4586672524465853e6	-160	-27.142093963952334	-38	-1.9964189000550903
2.4586673627349935e6	-57	-39.4325150107376	-36	-10.972449433561877
2.458667306714924e6	-109	-23.76607077424751	-17	-24.607971664933075
2.4586673076004116e6	-108	-59.55372107791277	-17	-23.729430570752683
