 -3   22 31  21 57  21 32  21 12  20 56  20 41  20 16  19 55  19 35  19 15  18 53  18 28  18 14  17 57  17 57  17 49  17 40  17 31  17 21  17 10  16 57  16 42  16 25  16  5  15 38  15  1  ++ ++  ++ ++
 -2   22 49  22 23  22  3  21 47  21 33  21 21  21  0  20 42  20 24  20  7  19 49  19 28  19 15  19  1  19  1  18 54  18 47  18 40  18 31  18 22  18 12  18  0  17 47  17 32  17 13  16 50  16 19  15 28
 -1   23  2  22 43  22 27  22 15  22  4  21 54  21 38  21 24  21 10  20 57  20 42  20 25  20 15  20  4  20  4  19 59  19 54  19 48  19 42  19 35  19 27  19 18  19  9  18 58  18 45  18 30  18 12  17 48
  0   23 11  22 58  22 47  22 38  22 31  22 24  22 13  22  2  21 53  21 43  21 33  21 21  21 14  21  6  21  6  21  2  20 59  20 55  20 50  20 45  20 40  20 35  20 28  20 21  20 13  20  3  19 52  19 39
  1   23 18  23 11  23  5  22 59  22 55  22 51  22 45  22 39  22 33  22 27  22 21  22 14  22 10  22  6  22  6  22  4  22  2  22  0  21 57  21 54  21 51  21 48  21 45  21 41  21 36  21 31  21 25  21 18
  2   23 24  23 22  23 20  23 19  23 18  23 17  23 15  23 14  23 12  23 11  23  9  23  7  23  6  23  5  23  5  23  5  23  4  23  3  23  3  23  2  23  1  23  1  23  0  22 59  22 58  22 56  22 55  22 53
  3   23 30  23 33  23 36  23 39  23 41  23 43  23 46  23 49  23 51  23 54  23 57  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **
  4   23 37  23 46  23 53  23 59  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  0   0  2   0  5   0  5   0  5   0  7   0  8   0  9   0 10   0 12   0 13   0 15   0 17   0 19   0 22   0 25   0 28
  5   23 45  ** **  ** **  ** **   0  5   0  9   0 17   0 25   0 32   0 39   0 46   0 55   1  0   1  5   1  5   1  8   1 11   1 14   1 17   1 20   1 24   1 28   1 33   1 38   1 43   1 50   1 58   2  7
  6   23 56   0  0   0 12   0 22   0 31   0 39   0 52   1  4   1 15   1 26   1 38   1 52   2  0   2  9   2  9   2 13   2 18   2 22   2 28   2 33   2 39   2 46   2 54   3  3   3 13   3 24   3 38   3 55
  7   ** **   0 18   0 35   0 49   1  2   1 12   1 30   1 47   2  2   2 17   2 33   2 52   3  3   3 16   3 16   3 22   3 28   3 35   3 42   3 50   3 59   4  9   4 21   4 34   4 49   5  8   5 32   6  4
  8    0 13   0 42   1  5   1 23   1 39   1 52   2 15   2 35   2 54   3 12   3 33   3 56   4 10   4 26   4 26   4 34   4 42   4 50   5  0   5 10   5 22   5 36   5 51   6 10   6 33   7  4   7 54  -- --
  9    0 40   1 18   1 45   2  6   2 24   2 40   3  7   3 29   3 51   4 12   4 36   5  3   5 19   5 37   5 37   5 46   5 55   6  5   6 16   6 29   6 43   7  0   7 20   7 45   8 18   9 19  -- --  -- --
 10    1 26   2  8   2 38   3  2   3 21   3 38   4  6   4 30   4 53   5 15   5 40   6  8   6 25   6 45   6 45   6 53   7  3   7 14   7 26   7 39   7 54   8 12   8 34   9  1   9 40  -- --  -- --  -- --
 11    2 37   3 17   3 46   4  9   4 28   4 44   5 11   5 35   5 56   6 18   6 42   7  9   7 25   7 43   7 43   7 52   8  1   8 11   8 22   8 34   8 48   9  4   9 23   9 46  10 16  11  3  -- --  -- --
 12    4  8   4 41   5  6   5 25   5 42   5 56   6 20   6 40   6 59   7 18   7 39   8  2   8 16   8 32   8 32   8 39   8 46   8 55   9  4   9 14   9 25   9 37   9 52  10  9  10 29  10 54  11 29  12 30
 13    5 48   6 12   6 30   6 45   6 58   7  9   7 27   7 44   7 59   8 14   8 30   8 48   8 58   9 10   9 10   9 16   9 22   9 28   9 34   9 42   9 50   9 59  10  9  10 20  10 33  10 48  11  7  11 30
 14    7 28   7 43   7 55   8  4   8 13   8 20   8 33   8 44   8 54   9  4   9 15   9 27   9 34   9 42   9 42   9 46   9 49   9 53   9 58  10  2  10  8  10 13  10 20  10 26  10 34  10 43  10 54  11  6
 15    9  3   9 10   9 16   9 21   9 25   9 28   9 35   9 40   9 45   9 50   9 56  10  2  10  5  10  9  10  9  10 11  10 13  10 15  10 17  10 19  10 22  10 24  10 27  10 31  10 34  10 39  10 43  10 49
 16   10 35  10 35  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34  10 34
 17   12  5  11 57  11 51  11 46  11 42  11 39  11 32  11 27  11 22  11 17  11 11  11  5  11  2  10 58  10 58  10 56  10 55  10 53  10 51  10 48  10 46  10 43  10 40  10 37  10 34  10 30  10 25  10 20
 18   13 34  13 19  13  7  12 58  12 50  12 42  12 30  12 20  12 10  12  0  11 49  11 38  11 31  11 23  11 23  11 20  11 16  11 12  11  8  11  4  10 59  10 54  10 48  10 41  10 34  10 25  10 15  10  4
 19   15  4  14 41  14 23  14  9  13 57  13 47  13 29  13 13  12 59  12 45  12 30  12 13  12  3  11 51  11 51  11 46  11 41  11 35  11 29  11 22  11 15  11  6  10 57  10 47  10 35  10 21  10  4   9 44
 20   16 33  16  2  15 38  15 20  15  4  14 51  14 28  14  9  13 51  13 33  13 13  12 51  12 39  12 24  12 24  12 17  12 10  12  3  11 54  11 45  11 35  11 24  11 11  10 56  10 38  10 16   9 48   9  8
