   154  00 03 34.53 -05 50 20.7  4.37  1.631   M3III        YY         Psc    46.62   -41.32    7.86
   677  00 10 01.39 +29 15 51.2  2.07 -0.038 P B9p          alpha      And   135.68  -162.95   33.60
   746  00 10 52.79 +59 19 24.2  2.28  0.380 P F2III-IV     beta       Cas   523.39  -180.42   59.89
   765  00 10 59.96 -45 34 25.8  3.88  1.013   K0III        epsilon    Phe   122.15  -180.13   23.28
  1067  00 14 51.73 +15 21 30.8  2.83 -0.190   B2IV         gamma      Peg     4.70    -8.24    9.79
  1170  00 16 14.25 -18 45 30.8  4.44  1.640 P M1III        AE         Cet   -27.15   -73.78    6.62
  1562  00 21 01.94 -08 38 58.5  3.56  1.214   K2III        iota       Cet   -14.37   -37.84   11.26
  1599  00 21 41.41 -64 41 23.9  4.23  0.576   F9V          zeta       Tuc  1707.56  1165.36  116.38
  2021  00 27 21.57 -77 04 38.0  2.82  0.618   G2IV         beta       Hyi  2220.12   324.37  133.78
  2072  00 27 44.67 -43 30 19.5  3.93  0.175   A7V          kappa      Phe   106.14    32.83   42.51
  2081  00 27 50.08 -42 08 05.8  2.40  1.083   K0III        alpha      Phe   232.76  -353.64   42.14
  2484  00 32 58.39 -62 47 06.3  4.36 -0.064   B9V          beta^1     Tuc    82.48   -54.37   23.35
  2599  00 34 49.06 +63 06 18.7  4.17  0.130   B1Ia         kappa      Cas     3.99    -2.10    0.79
  2912  00 38 34.37 +33 53 32.2  4.34 -0.123   B5V          pi         And    15.23    -3.56    4.97
  2920  00 38 44.73 +54 04 11.2  3.69 -0.196   B2IV         zeta       Cas    17.77    -9.15    5.46
  3031  00 40 13.71 +29 28 56.3  4.34  0.871   G5III        epsilon    And  -229.41  -254.08   19.34
  3092  00 41 01.23 +31 01 58.7  3.27  1.268   K3III        delta      And   115.38   -83.05   32.19
  3179  00 42 18.98 +56 42 34.4  2.24  1.170   K0II-IIIvar  alpha      Cas    50.36   -32.17   14.27
  3405  00 44 45.52 -57 17 26.9  4.36  0.024   A0IV         eta        Phe    -5.16    15.50   13.57
  3419  00 45 10.13 -17 48 51.3  2.04  1.019   K0III        beta       Cet   232.79    32.71   34.04
  3504  00 46 29.80 +48 27 22.3  4.48 -0.069   B5III        o          Cas    17.79    -7.62    3.60
  3693  00 49 00.93 +24 26 16.6  4.08  1.100 P K1II         zeta       And  -101.23   -81.89   17.98
  3786  00 50 19.20 +07 45 21.3  4.44  1.500   K5III        delta      Psc    83.14   -50.48   10.69
  3821  00 51 01.99 +57 58 53.3  3.46  0.587   G0V SB       eta        Cas  1087.11  -559.65  167.99
  4427  00 58 38.26 +60 53 11.5  2.15 -0.046 P B0IV:evar    gamma      Cas    25.65    -3.82    5.32
  4436  00 58 30.84 +38 40 10.2  3.86  0.130   A5V          mu         And   152.78    36.82   23.93
  4463  00 58 53.75 +23 35 13.2  4.40  0.940   G8III-IV     eta        And   -43.72   -46.06   13.44
  4577  01 00 07.24 -29 11 16.4  4.30 -0.154   B7IIIp       alpha      Scl    22.44     6.30    4.85
  4906  01 04 34.92 +08 03 32.3  4.27  0.952   K0III        epsilon    Psc   -80.57    25.88   17.14
  5165  01 07 28.90 -46 33 00.6  3.32  0.885 G G8IIIvar     beta       Phe   -70.16    31.60   16.46
  5348  01 09 42.08 -55 04 41.0  3.94 -0.120 G B6V + B0V    zeta       Phe    21.17    29.70   11.66
  5364  01 10 10.48 -10 00 58.0  3.46  1.161   K2III        eta        Cet   215.81  -138.33   27.73
  5372  01 13 45.70 +86 25 26.2  4.24  1.213   K2II-III                       80.34   -11.36   10.43
  5434  01 11 20.81 +47 24 31.7  4.26  0.012   B7III        phi        And     3.81   -13.02    4.43
  5447  01 11 30.42 +35 47 12.0  2.07  1.576   M0IIIvar     beta       And   175.59  -112.23   16.36
  5542  01 13 02.62 +55 18 59.3  4.34  0.170   A7Vvar       theta      Cas   226.62   -19.34   23.73
  5896  01 16 49.97 -68 42 32.7  4.25  0.480   F6IV                          411.11   127.43   48.94
  6537  01 25 35.94 -08 01 17.7  3.60  1.065   K0III        theta      Cet   -78.38  -206.88   28.48
  6686  01 27 54.40 +60 23 51.9  2.66  0.160 P A5Vv SB      delta      Cas   297.24   -49.49   32.81
  6867  01 29 43.75 -43 09 28.0  3.41  1.542   K5II-III     gamma      Phe   -18.21  -207.71   13.94
  7083  01 32 33.52 -48 54 35.7  3.93  0.972   K0III-IV     delta      Phe   138.22   154.20   22.15
  7097  01 33 10.48 +15 30 25.6  3.62  0.974   G8III        eta        Psc    25.73    -3.29   11.09
  7513  01 38 39.62 +41 33 42.4  4.10  0.536   F8V          upsilon    And  -172.57  -381.01   74.25
  7588  01 38 52.94 -57 04 39.5  0.45 -0.158 P B3Vp         alpha      Eri    88.02   -40.08   22.68
  7607  01 39 56.67 +48 47 11.3  3.59  1.275   K3III                   And    60.90  -112.42   18.76
  7884  01 43 04.48 +05 38 45.0  4.45  1.347   K3III        nu         Psc   -22.73     3.61    8.86
  8068  01 45 39.31 +50 50 45.6  4.01 -0.098   B2Vpe        phi        Per    24.08   -13.59    4.55
  8102  01 45 31.91 -15 46 21.6  3.49  0.727   G8V          tau        Cet -1721.82   854.07  274.17
  8198  01 47 03.71 +09 18 53.7  4.26  0.942   K0III        o          Psc    70.82    38.99   12.63
  8645  01 53 01.00 -10 10 50.3  3.74  1.136   K2III        zeta       Cet    38.78   -38.04   12.59
  8796  01 54 53.23 +29 43 51.2  3.42  0.488   F6IV         alpha      Tri    12.02  -233.69   50.87
  8832  01 55 15.94 +19 26 49.0  3.88 -0.047   A1p Si                         79.43   -99.10   15.96
  8837  01 54 54.32 -46 08 58.1  4.39  1.597   M4III SB     psi        Phe   -92.38   -91.46   10.15
  8886  01 56 41.96 +63 49 24.5  3.35 -0.150   B2pvar       epsilon    Cas    31.98   -18.66    7.38
  8903  01 56 23.25 +20 57 38.2  2.64  0.165 P A5V          beta       Ari    96.32  -108.80   54.74
  9007  01 57 10.84 -51 27 11.8  3.69  0.844   G5IV         chi        Eri   681.24   284.23   57.19
  9236  01 59 45.68 -61 25 03.0  2.86  0.290   F0V          alpha      Hyi   262.54    26.88   45.74
  9347  02 01 29.35 -20 55 35.3  3.99  1.554   K5/M0III     upsilon    Cet   133.01   -24.53   10.84
  9480  02 04 36.53 +71 03 27.0  4.49  0.164   A3IV                          -54.46   -10.69   27.91
  9487  02 03 40.82 +02 54 52.2  3.82  0.024 P A2           alpha      Psc    33.29    -0.42   23.45
  9598  02 06 11.80 +72 34 17.3  3.95 -0.002   A2V                     Cas   -44.00    22.51   20.12
  9640  02 05 50.86 +42 28 45.3  2.10  1.370 W B8V          gamma^1    And    43.08   -50.85    9.19
  9884  02 08 57.43 +23 36 35.4  2.01  1.151   K2III        alpha      Ari   190.73  -145.77   49.48
 10064  02 11 25.80 +35 08 04.7  3.00  0.140   A5III        beta       Tri   148.78   -39.13   26.24
 10324  02 14 40.45 +08 59 34.4  4.36  0.878   G8II:        xi^1       Cet   -26.23   -14.40    9.01
 10602  02 17 38.03 -51 22 02.8  3.56 -0.120   B8IV-V       phi        Eri    90.75   -21.90   21.06
 10670  02 19 11.90 +33 59 28.1  4.03  0.019   A1Vnn        gamma      Tri    44.91   -52.42   27.73
 11001  02 22 19.18 -68 31 00.0  4.08  0.034   A3V          delta      Hyi   -50.07     2.38   24.10
 11407  02 28 08.35 -47 33 49.1  4.24 -0.136   B5IV         kappa      Eri    19.97    -5.44    6.17
 11484  02 29 50.32 +08 35 58.2  4.30 -0.053   B9III        xi^2       Cet    41.72   -14.46   18.53
