 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     357 &  45.5 &  45.5 &  45.6 &  45.5 &  45.3 &  45.1 &  44.8 &  44.6 &  44.4 &  44.4 &  44.5 &  44.5 \\
 2 & $\beta$    Cas. & $Caph$  & $ 2.3$ & \bf                         357 &  33.3 &  33.5 &  33.6 &  33.5 &  33.2 &  32.8 &  32.5 &  32.1 &  32.0 &  31.9 &  32.0 &  32.2 \\
 3 & $\gamma$   Peg. & $Algenib$  & $ 2.8$ & \bf                      356 &  32.8 &  32.8 &  32.8 &  32.8 &  32.6 &  32.4 &  32.1 &  31.9 &  31.8 &  31.8 &  31.8 &  31.9 \\
 4 & $\alpha$   Phe. & $Ankaa$  & $ 2.4$ & \bf                        353 &  17.5 &  17.6 &  17.6 &  17.6 &  17.4 &  17.2 &  16.9 &  16.6 &  16.5 &  16.4 &  16.5 &  16.6 \\
 5 & $\alpha$   Cas. & $Schedar$  & $ 2.2$ & \bf                      349 &  42.7 &  42.9 &  43.0 &  43.0 &  42.7 &  42.4 &  42.0 &  41.7 &  41.5 &  41.4 &  41.4 &  41.6 \\[1.4ex]
 6 & $\beta$    Cet. & $Diphda$  & $ 2.0$ & \bf                       348 &  57.7 &  57.7 &  57.8 &  57.7 &  57.6 &  57.4 &  57.2 &  56.9 &  56.8 &  56.7 &  56.8 &  56.8 \\
 7 & $\gamma$   Cas. & $Navi$  & $*2.3$ & \bf                         345 &  39.0 &  39.3 &  39.4 &  39.4 &  39.1 &  38.8 &  38.3 &  38.0 &  37.7 &  37.6 &  37.6 &  37.8 \\
 8 & $\beta$    And. & $Mirach$  & $ 2.1$ & \bf                       342 &  24.4 &  24.5 &  24.6 &  24.6 &  24.5 &  24.2 &  23.9 &  23.7 &  23.5 &  23.4 &  23.4 &  23.4 \\
 9 & $\alpha$   Eri. & $Achernar$  & $ 0.5$ & \bf                     335 &  27.9 &  28.2 &  28.3 &  28.4 &  28.3 &  28.1 &  27.7 &  27.4 &  27.1 &  27.0 &  27.0 &  27.2 \\
10 & $\gamma$   And. & $Almak$  & $ 2.3$ & \bf                        328 &  50.9 &  51.0 &  51.1 &  51.2 &  51.1 &  50.8 &  50.5 &  50.2 &  50.0 &  49.8 &  49.8 &  49.8 \\[1.4ex]
12 & $\alpha$   Ari. & $Hamal$  & $ 2.0$ & \bf                        328 &   2.7 &   2.8 &   2.9 &   2.9 &   2.8 &   2.6 &   2.4 &   2.1 &   1.9 &   1.8 &   1.7 &   1.7 \\
