 1 & $\alpha$   Andromedae & $Alpheratz$ & $ 2.1$ &                             17 & 25 & 15 & 23 & 13 & 33 & 11 & 31 &  9 & 33 &  7 & 31 &  5 & 33 \\
 2 & $\beta$    Cassiopeae & $Caph$  & $ 2.3$ &                                 17 & 26 & 15 & 24 & 13 & 34 & 11 & 32 &  9 & 34 &  7 & 32 &  5 & 34 \\
 6 & $\beta$    Ceti & $Diphda$  & $ 2.0$ &                                     18 & 00 & 15 & 58 & 14 & 08 & 12 & 06 & 10 & 08 &  8 & 06 &  6 & 08 \\
 9 & $\alpha$   Eridani & $Achernar$  & $ 0.5$ &                                18 & 54 & 16 & 52 & 15 & 02 & 13 & 00 & 11 & 02 &  9 & 00 &  7 & 02 \\
12 & $\alpha$   Arietis & $Hamal$  & $ 2.0$ &                                   19 & 23 & 17 & 22 & 15 & 31 & 13 & 30 & 11 & 32 &  9 & 30 &  7 & 32 \\[1.4ex]
13 & $\theta$   Eridani & $Acamar$  & $ 3.3$ &                                  20 & 14 & 18 & 12 & 16 & 22 & 14 & 20 & 12 & 22 & 10 & 20 &  8 & 22 \\
16 & $\alpha$   Persei & $Mirfak$  & $ 1.8$ &                                   20 & 41 & 18 & 39 & 16 & 49 & 14 & 47 & 12 & 49 & 10 & 47 &  8 & 49 \\
19 & $\alpha$   Tauri & $Aldebaran$  & $ 0.9$ &                                 21 & 52 & 19 & 50 & 18 & 00 & 15 & 58 & 14 & 00 & 11 & 58 & 10 & 00 \\
20 & $\beta$    Orionis & $Rigel$  & $ 0.1$ &                                   22 & 30 & 20 & 28 & 18 & 38 & 16 & 36 & 14 & 38 & 12 & 36 & 10 & 39 \\
21 & $\alpha$   Aurigae & $Capella$  & $ 0.1$ &                                 22 & 33 & 20 & 31 & 18 & 41 & 16 & 39 & 14 & 41 & 12 & 39 & 10 & 41 \\[1.4ex]
22 & $\gamma$   Orionis & $Bellatrix$  & $ 1.6$ &                               22 & 41 & 20 & 39 & 18 & 49 & 16 & 47 & 14 & 49 & 12 & 47 & 10 & 49 \\
28 & $\alpha$   Orionis & $Betelgeuse$  & $*0.9$ &                              23 & 11 & 21 & 09 & 19 & 19 & 17 & 17 & 15 & 19 & 13 & 17 & 11 & 19 \\
31 & $\alpha$   Carinae & $Canopus$  & $-0.7$ &                                 23 & 39 & 21 & 37 & 19 & 47 & 17 & 45 & 15 & 47 & 13 & 45 & 11 & 47 \\
33 & $\alpha$   Canis Majoris & $Sirius$  & $-1.5$ &                             0 & 04 & 21 & 59 & 20 & 09 & 18 & 07 & 16 & 09 & 14 & 07 & 12 & 09 \\
34 & $\epsilon$ Canis Majoris & $Adhara$  & $ 1.5$ &                             0 & 18 & 22 & 12 & 20 & 22 & 18 & 20 & 16 & 22 & 14 & 20 & 12 & 22 \\[1.4ex]
