 1 & $\alpha$   Andromedae & $Alpheratz$ & $ 2.1$ &                              3 & 31 &  1 & 30 & 23 & 28 & 21 & 26 & 19 & 28 \\
 2 & $\beta$    Cassiopeae & $Caph$  & $ 2.3$ &                                  3 & 32 &  1 & 30 & 23 & 28 & 21 & 27 & 19 & 29 \\
 6 & $\beta$    Ceti & $Diphda$  & $ 2.0$ &                                      4 & 06 &  2 & 05 &  0 & 07 & 22 & 01 & 20 & 03 \\
 9 & $\alpha$   Eridani & $Achernar$  & $ 0.5$ &                                 5 & 00 &  2 & 58 &  1 & 00 & 22 & 55 & 20 & 57 \\
12 & $\alpha$   Arietis & $Hamal$  & $ 2.0$ &                                    5 & 30 &  3 & 28 &  1 & 30 & 23 & 24 & 21 & 26 \\[1.4ex]
13 & $\theta$   Eridani & $Acamar$  & $ 3.3$ &                                   6 & 21 &  4 & 19 &  2 & 21 &  0 & 19 & 22 & 17 \\
16 & $\alpha$   Persei & $Mirfak$  & $ 1.8$ &                                    6 & 47 &  4 & 45 &  2 & 47 &  0 & 45 & 22 & 43 \\
19 & $\alpha$   Tauri & $Aldebaran$  & $ 0.9$ &                                  7 & 58 &  5 & 56 &  3 & 58 &  1 & 57 & 23 & 55 \\
20 & $\beta$    Orionis & $Rigel$  & $ 0.1$ &                                    8 & 37 &  6 & 35 &  4 & 37 &  2 & 35 &  0 & 37 \\
21 & $\alpha$   Aurigae & $Capella$  & $ 0.1$ &                                  8 & 39 &  6 & 37 &  4 & 39 &  2 & 37 &  0 & 39 \\[1.4ex]
22 & $\gamma$   Orionis & $Bellatrix$  & $ 1.6$ &                                8 & 47 &  6 & 45 &  4 & 47 &  2 & 46 &  0 & 48 \\
28 & $\alpha$   Orionis & $Betelgeuse$  & $*0.9$ &                               9 & 17 &  7 & 15 &  5 & 17 &  3 & 16 &  1 & 18 \\
31 & $\alpha$   Carinae & $Canopus$  & $-0.7$ &                                  9 & 46 &  7 & 44 &  5 & 46 &  3 & 44 &  1 & 46 \\
33 & $\alpha$   Canis Majoris & $Sirius$  & $-1.5$ &                            10 & 07 &  8 & 05 &  6 & 07 &  4 & 05 &  2 & 07 \\
34 & $\epsilon$ Canis Majoris & $Adhara$  & $ 1.5$ &                            10 & 20 &  8 & 18 &  6 & 21 &  4 & 19 &  2 & 21 \\[1.4ex]
38 & $\alpha$   Canis Minoris & $Procyon$  & $ 0.4$ &                           11 & 01 &  8 & 59 &  7 & 01 &  4 & 59 &  3 & 01 \\
39 & $\beta$    Geminorum & $Pollux$  & $ 1.1$ &                                11 & 07 &  9 & 05 &  7 & 07 &  5 & 05 &  3 & 08 \\
42 & $\epsilon$ Carinae & $Avior$  & $ 1.8$ &                                   11 & 44 &  9 & 42 &  7 & 44 &  5 & 42 &  3 & 44 \\
45 & $\lambda$  Velorum & $Suhail$  & $ 2.2$ &                                  12 & 29 & 10 & 27 &  8 & 29 &  6 & 28 &  4 & 30 \\
46 & $\beta$    Carinae & $Miaplacidus$  & $ 1.7$ &                             12 & 34 & 10 & 32 &  8 & 34 &  6 & 32 &  4 & 35 \\[1.4ex]
49 & $\alpha$   Hydrae & $Alphard$  & $ 2.0$ &                                  12 & 49 & 10 & 47 &  8 & 49 &  6 & 47 &  4 & 49 \\
50 & $\alpha$   Leonis & $Regulus$  & $ 1.4$ &                                  13 & 30 & 11 & 28 &  9 & 30 &  7 & 28 &  5 & 30 \\
54 & $\alpha$ Ursae Majoris & $Dubhe$ & $ 1.8$ &                                14 & 25 & 12 & 23 & 10 & 25 &  8 & 23 &  6 & 25 \\
