182&00&$+$& 31.7&208&00&$+$& 40.0&234&00&$+$& 40.1&260&00&$+$& 32.2&286&00&$+$& 17.7&312&00&$-$&  0.3&338&00&$-$& 18.3\\
182&30&$+$& 31.9&208&30&$+$& 40.0&234&30&$+$& 40.1&260&30&$+$& 32.0&286&30&$+$& 17.4&312&30&$-$&  0.7&338&30&$-$& 18.6\\
183&00&$+$& 32.1&209&00&$+$& 40.1&235&00&$+$& 40.0&261&00&$+$& 31.7&287&00&$+$& 17.1&313&00&$-$&  1.0&339&00&$-$& 18.9\\
183&30&$+$& 32.4&209&30&$+$& 40.2&235&30&$+$& 39.9&261&30&$+$& 31.5&287&30&$+$& 16.8&313&30&$-$&  1.4&339&30&$-$& 19.3\\
184&00&$+$& 32.6&210&00&$+$& 40.3&236&00&$+$& 39.8&262&00&$+$& 31.3&288&00&$+$& 16.4&314&00&$-$&  1.8&340&00&$-$& 19.6\\
184&30&$+$& 32.8&210&30&$+$& 40.3&236&30&$+$& 39.7&262&30&$+$& 31.0&288&30&$+$& 16.1&314&30&$-$&  2.1&340&30&$-$& 19.9\\[1ex]
185&00&$+$& 33.0&211&00&$+$& 40.4&237&00&$+$& 39.6&263&00&$+$& 30.8&289&00&$+$& 15.8&315&00&$-$&  2.5&341&00&$-$& 20.2\\
185&30&$+$& 33.2&211&30&$+$& 40.5&237&30&$+$& 39.5&263&30&$+$& 30.6&289&30&$+$& 15.4&315&30&$-$&  2.8&341&30&$-$& 20.5\\
186&00&$+$& 33.4&212&00&$+$& 40.5&238&00&$+$& 39.4&264&00&$+$& 30.3&290&00&$+$& 15.1&316&00&$-$&  3.2&342&00&$-$& 20.8\\
186&30&$+$& 33.7&212&30&$+$& 40.6&238&30&$+$& 39.3&264&30&$+$& 30.1&290&30&$+$& 14.8&316&30&$-$&  3.5&342&30&$-$& 21.1\\
187&00&$+$& 33.9&213&00&$+$& 40.6&239&00&$+$& 39.2&265&00&$+$& 29.8&291&00&$+$& 14.4&317&00&$-$&  3.9&343&00&$-$& 21.4\\
187&30&$+$& 34.1&213&30&$+$& 40.7&239&30&$+$& 39.1&265&30&$+$& 29.6&291&30&$+$& 14.1&317&30&$-$&  4.3&343&30&$-$& 21.8\\[1ex]
188&00&$+$& 34.3&214&00&$+$& 40.7&240&00&$+$& 39.0&266&00&$+$& 29.3&292&00&$+$& 13.8&318&00&$-$&  4.6&344&00&$-$& 22.1\\
188&30&$+$& 34.5&214&30&$+$& 40.8&240&30&$+$& 38.9&266&30&$+$& 29.1&292&30&$+$& 13.4&318&30&$-$&  5.0&344&30&$-$& 22.4\\
