  0&00&$-$& 30.8& 26&00&$-$& 39.6& 52&00&$-$& 40.4& 78&00&$-$& 33.1&104&00&$-$& 19.0&130&00&$-$&  1.1&156&00&$+$& 17.0\\
  0&30&$-$& 31.0& 26&30&$-$& 39.7& 52&30&$-$& 40.4& 78&30&$-$& 32.8&104&30&$-$& 18.7&130&30&$-$&  0.8&156&30&$+$& 17.3\\
  1&00&$-$& 31.2& 27&00&$-$& 39.8& 53&00&$-$& 40.3& 79&00&$-$& 32.6&105&00&$-$& 18.4&131&00&$-$&  0.4&157&00&$+$& 17.7\\
  1&30&$-$& 31.5& 27&30&$-$& 39.9& 53&30&$-$& 40.2& 79&30&$-$& 32.4&105&30&$-$& 18.1&131&30&$ $&  0.0&157&30&$+$& 18.0\\
  2&00&$-$& 31.7& 28&00&$-$& 40.0& 54&00&$-$& 40.1& 80&00&$-$& 32.2&106&00&$-$& 17.7&132&00&$+$&  0.3&158&00&$+$& 18.3\\
  2&30&$-$& 31.9& 28&30&$-$& 40.0& 54&30&$-$& 40.1& 80&30&$-$& 32.0&106&30&$-$& 17.4&132&30&$+$&  0.7&158&30&$+$& 18.6\\[1ex]
  3&00&$-$& 32.1& 29&00&$-$& 40.1& 55&00&$-$& 40.0& 81&00&$-$& 31.7&107&00&$-$& 17.1&133&00&$+$&  1.0&159&00&$+$& 18.9\\
  3&30&$-$& 32.4& 29&30&$-$& 40.2& 55&30&$-$& 39.9& 81&30&$-$& 31.5&107&30&$-$& 16.8&133&30&$+$&  1.4&159&30&$+$& 19.3\\
  4&00&$-$& 32.6& 30&00&$-$& 40.3& 56&00&$-$& 39.8& 82&00&$-$& 31.3&108&00&$-$& 16.4&134&00&$+$&  1.8&160&00&$+$& 19.6\\
  4&30&$-$& 32.8& 30&30&$-$& 40.3& 56&30&$-$& 39.7& 82&30&$-$& 31.0&108&30&$-$& 16.1&134&30&$+$&  2.1&160&30&$+$& 19.9\\
  5&00&$-$& 33.0& 31&00&$-$& 40.4& 57&00&$-$& 39.6& 83&00&$-$& 30.8&109&00&$-$& 15.8&135&00&$+$&  2.5&161&00&$+$& 20.2\\
  5&30&$-$& 33.2& 31&30&$-$& 40.5& 57&30&$-$& 39.5& 83&30&$-$& 30.6&109&30&$-$& 15.4&135&30&$+$&  2.8&161&30&$+$& 20.5\\[1ex]
  6&00&$-$& 33.4& 32&00&$-$& 40.5& 58&00&$-$& 39.4& 84&00&$-$& 30.3&110&00&$-$& 15.1&136&00&$+$&  3.2&162&00&$+$& 20.8\\
  6&30&$-$& 33.7& 32&30&$-$& 40.6& 58&30&$-$& 39.3& 84&30&$-$& 30.1&110&30&$-$& 14.8&136&30&$+$&  3.5&162&30&$+$& 21.1\\
