182&00&$+$& 31.4&208&00&$+$& 39.7&234&00&$+$& 40.0&260&00&$+$& 32.2&286&00&$+$& 17.9&312&00&$-$&  0.1&338&00&$-$& 18.0\\
182&30&$+$& 31.6&208&30&$+$& 39.8&234&30&$+$& 39.9&260&30&$+$& 32.0&286&30&$+$& 17.6&312&30&$-$&  0.4&338&30&$-$& 18.3\\
183&00&$+$& 31.8&209&00&$+$& 39.9&235&00&$+$& 39.8&261&00&$+$& 31.7&287&00&$+$& 17.2&313&00&$-$&  0.8&339&00&$-$& 18.6\\
183&30&$+$& 32.0&209&30&$+$& 39.9&235&30&$+$& 39.8&261&30&$+$& 31.5&287&30&$+$& 16.9&313&30&$-$&  1.1&339&30&$-$& 18.9\\
184&00&$+$& 32.3&210&00&$+$& 40.0&236&00&$+$& 39.7&262&00&$+$& 31.3&288&00&$+$& 16.6&314&00&$-$&  1.5&340&00&$-$& 19.3\\
184&30&$+$& 32.5&210&30&$+$& 40.1&236&30&$+$& 39.6&262&30&$+$& 31.1&288&30&$+$& 16.3&314&30&$-$&  1.8&340&30&$-$& 19.6\\[1ex]
185&00&$+$& 32.7&211&00&$+$& 40.2&237&00&$+$& 39.5&263&00&$+$& 30.8&289&00&$+$& 15.9&315&00&$-$&  2.2&341&00&$-$& 19.9\\
185&30&$+$& 32.9&211&30&$+$& 40.2&237&30&$+$& 39.4&263&30&$+$& 30.6&289&30&$+$& 15.6&315&30&$-$&  2.6&341&30&$-$& 20.2\\
186&00&$+$& 33.1&212&00&$+$& 40.3&238&00&$+$& 39.3&264&00&$+$& 30.4&290&00&$+$& 15.3&316&00&$-$&  2.9&342&00&$-$& 20.5\\
186&30&$+$& 33.3&212&30&$+$& 40.3&238&30&$+$& 39.2&264&30&$+$& 30.1&290&30&$+$& 14.9&316&30&$-$&  3.3&342&30&$-$& 20.8\\
187&00&$+$& 33.5&213&00&$+$& 40.4&239&00&$+$& 39.1&265&00&$+$& 29.9&291&00&$+$& 14.6&317&00&$-$&  3.6&343&00&$-$& 21.1\\
187&30&$+$& 33.7&213&30&$+$& 40.5&239&30&$+$& 39.0&265&30&$+$& 29.6&291&30&$+$& 14.3&317&30&$-$&  4.0&343&30&$-$& 21.4\\[1ex]
188&00&$+$& 33.9&214&00&$+$& 40.5&240&00&$+$& 38.9&266&00&$+$& 29.4&292&00&$+$& 13.9&318&00&$-$&  4.3&344&00&$-$& 21.7\\
188&30&$+$& 34.1&214&30&$+$& 40.6&240&30&$+$& 38.8&266&30&$+$& 29.1&292&30&$+$& 13.6&318&30&$-$&  4.7&344&30&$-$& 22.0\\
189&00&$+$& 34.3&215&00&$+$& 40.6&241&00&$+$& 38.6&267&00&$+$& 28.9&293&00&$+$& 13.3&319&00&$-$&  5.0&345&00&$-$& 22.3\\
189&30&$+$& 34.5&215&30&$+$& 40.6&241&30&$+$& 38.5&267&30&$+$& 28.6&293&30&$+$& 12.9&319&30&$-$&  5.4&345&30&$-$& 22.6\\
190&00&$+$& 34.7&216&00&$+$& 40.7&242&00&$+$& 38.4&268&00&$+$& 28.4&294&00&$+$& 12.6&320&00&$-$&  5.8&346&00&$-$& 22.9\\
190&30&$+$& 34.9&216&30&$+$& 40.7&242&30&$+$& 38.3&268&30&$+$& 28.1&294&30&$+$& 12.2&320&30&$-$&  6.1&346&30&$-$& 23.2\\[1ex]
