 1 & $\alpha$   Andromedae & $Alpheratz$ & $ 2.1$ &                             17 & 32 & 15 & 30 & 13 & 28 & 11 & 26 &  9 & 25 &  7 & 27 &  5 & 24 \\
 2 & $\beta$    Cassiopeae & $Caph$  & $ 2.3$ &                                 17 & 33 & 15 & 31 & 13 & 29 & 11 & 27 &  9 & 25 &  7 & 27 &  5 & 24 \\
 6 & $\beta$    Ceti & $Diphda$  & $ 2.0$ &                                     18 & 07 & 16 & 05 & 14 & 03 & 12 & 05 & 10 & 00 &  8 & 02 &  5 & 59 \\
 9 & $\alpha$   Eridani & $Achernar$  & $ 0.5$ &                                19 & 01 & 16 & 59 & 14 & 57 & 13 & 00 & 10 & 53 &  8 & 55 &  6 & 52 \\
12 & $\alpha$   Arietis & $Hamal$  & $ 2.0$ &                                   19 & 31 & 17 & 29 & 15 & 27 & 13 & 29 & 11 & 23 &  9 & 25 &  7 & 22 \\[1.4ex]
13 & $\theta$   Eridani & $Acamar$  & $ 3.3$ &                                  20 & 21 & 18 & 19 & 16 & 17 & 14 & 19 & 12 & 18 & 10 & 16 &  8 & 13 \\
16 & $\alpha$   Persei & $Mirfak$  & $ 1.8$ &                                   20 & 48 & 18 & 46 & 16 & 44 & 14 & 46 & 12 & 44 & 10 & 42 &  8 & 40 \\
19 & $\alpha$   Tauri & $Aldebaran$  & $ 0.9$ &                                 21 & 59 & 19 & 57 & 17 & 55 & 15 & 57 & 13 & 55 & 11 & 53 &  9 & 51 \\
20 & $\beta$    Orionis & $Rigel$  & $ 0.1$ &                                   22 & 37 & 20 & 35 & 18 & 33 & 16 & 36 & 14 & 34 & 12 & 36 & 10 & 29 \\
21 & $\alpha$   Aurigae & $Capella$  & $ 0.1$ &                                 22 & 40 & 20 & 38 & 18 & 36 & 16 & 38 & 14 & 36 & 12 & 38 & 10 & 32 \\[1.4ex]
22 & $\gamma$   Orionis & $Bellatrix$  & $ 1.6$ &                               22 & 48 & 20 & 46 & 18 & 44 & 16 & 46 & 14 & 44 & 12 & 46 & 10 & 40 \\
28 & $\alpha$   Orionis & $Betelgeuse$  & $*0.9$ &                              23 & 18 & 21 & 16 & 19 & 14 & 17 & 16 & 15 & 14 & 13 & 16 & 11 & 10 \\
