182&00&$+$& 27.5&208&00&$+$& 36.6&234&00&$+$& 38.3&260&00&$+$& 32.3&286&00&$+$& 19.7&312&00&$+$&  3.1&338&00&$-$& 14.1\\
182&30&$+$& 27.7&208&30&$+$& 36.7&234&30&$+$& 38.3&260&30&$+$& 32.1&286&30&$+$& 19.4&312&30&$+$&  2.8&338&30&$-$& 14.4\\
183&00&$+$& 28.0&209&00&$+$& 36.8&235&00&$+$& 38.2&261&00&$+$& 31.9&287&00&$+$& 19.1&313&00&$+$&  2.4&339&00&$-$& 14.7\\
183&30&$+$& 28.2&209&30&$+$& 36.9&235&30&$+$& 38.2&261&30&$+$& 31.7&287&30&$+$& 18.8&313&30&$+$&  2.1&339&30&$-$& 15.0\\
184&00&$+$& 28.4&210&00&$+$& 37.0&236&00&$+$& 38.1&262&00&$+$& 31.5&288&00&$+$& 18.5&314&00&$+$&  1.8&340&00&$-$& 15.3\\
184&30&$+$& 28.7&210&30&$+$& 37.1&236&30&$+$& 38.1&262&30&$+$& 31.3&288&30&$+$& 18.2&314&30&$+$&  1.4&340&30&$-$& 15.6\\[1ex]
185&00&$+$& 28.9&211&00&$+$& 37.2&237&00&$+$& 38.0&263&00&$+$& 31.1&289&00&$+$& 17.9&315&00&$+$&  1.1&341&00&$-$& 15.9\\
185&30&$+$& 29.1&211&30&$+$& 37.3&237&30&$+$& 37.9&263&30&$+$& 30.9&289&30&$+$& 17.6&315&30&$+$&  0.8&341&30&$-$& 16.3\\
186&00&$+$& 29.3&212&00&$+$& 37.4&238&00&$+$& 37.9&264&00&$+$& 30.7&290&00&$+$& 17.3&316&00&$+$&  0.4&342&00&$-$& 16.6\\
186&30&$+$& 29.5&212&30&$+$& 37.5&238&30&$+$& 37.8&264&30&$+$& 30.5&290&30&$+$& 17.0&316&30&$+$&  0.1&342&30&$-$& 16.9\\
187&00&$+$& 29.8&213&00&$+$& 37.6&239&00&$+$& 37.7&265&00&$+$& 30.3&291&00&$+$& 16.7&317&00&$-$&  0.3&343&00&$-$& 17.2\\
187&30&$+$& 30.0&213&30&$+$& 37.6&239&30&$+$& 37.7&265&30&$+$& 30.1&291&30&$+$& 16.4&317&30&$-$&  0.6&343&30&$-$& 17.5\\[1ex]
188&00&$+$& 30.2&214&00&$+$& 37.7&240&00&$+$& 37.6&266&00&$+$& 29.9&292&00&$+$& 16.1&318&00&$-$&  0.9&344&00&$-$& 17.8\\
188&30&$+$& 30.4&214&30&$+$& 37.8&240&30&$+$& 37.5&266&30&$+$& 29.7&292&30&$+$& 15.8&318&30&$-$&  1.3&344&30&$-$& 18.1\\
189&00&$+$& 30.6&215&00&$+$& 37.8&241&00&$+$& 37.4&267&00&$+$& 29.4&293&00&$+$& 15.5&319&00&$-$&  1.6&345&00&$-$& 18.4\\
189&30&$+$& 30.8&215&30&$+$& 37.9&241&30&$+$& 37.3&267&30&$+$& 29.2&293&30&$+$& 15.2&319&30&$-$&  1.9&345&30&$-$& 18.7\\
