 1 & $\alpha$   And. & $Alpheratz$ & $ 2.1$ & \bf                     $+$29 & 15.3 & 15.2 & 15.1 & 15.1 & 15.1 & 15.1 & 15.2 & 15.3 & 15.5 & 15.6 & 15.6 & 15.6 \\
 2 & $\beta$    Cas. & $Caph$  & $ 2.3$ & \bf                         $+$59 & 19.0 & 18.9 & 18.7 & 18.6 & 18.5 & 18.5 & 18.6 & 18.8 & 18.9 & 19.1 & 19.2 & 19.3 \\
 3 & $\gamma$   Peg. & $Algenib$  & $ 2.8$ & \bf                      $+$15 & 20.8 & 20.8 & 20.7 & 20.7 & 20.8 & 20.8 & 20.9 & 21.0 & 21.1 & 21.2 & 21.2 & 21.2 \\
 4 & $\alpha$   Phe. & $Ankaa$  & $ 2.4$ & \bf                        $-$42 &  9.1 &  9.0 &  8.9 &  8.8 &  8.6 &  8.5 &  8.4 &  8.4 &  8.4 &  8.5 &  8.7 &  8.7 \\
 5 & $\alpha$   Cas. & $Schedar$  & $ 2.2$ & \bf                      $+$56 & 42.1 & 42.1 & 41.9 & 41.8 & 41.7 & 41.7 & 41.8 & 41.9 & 42.1 & 42.3 & 42.4 & 42.5 \\[1.4ex]
 6 & $\beta$    Cet. & $Diphda$  & $ 2.0$ & \bf                       $-$17 & 49.7 & 49.7 & 49.6 & 49.6 & 49.5 & 49.3 & 49.2 & 49.2 & 49.2 & 49.2 & 49.3 & 49.3 \\
 7 & $\gamma$   Cas. & $Navi$  & $*2.3$ & \bf                         $+$60 & 52.8 & 52.7 & 52.6 & 52.5 & 52.4 & 52.4 & 52.4 & 52.5 & 52.7 & 52.9 & 53.0 & 53.1 \\
 8 & $\beta$    And. & $Mirach$  & $ 2.1$ & \bf                       $+$35 & 46.7 & 46.6 & 46.6 & 46.5 & 46.4 & 46.5 & 46.5 & 46.7 & 46.8 & 46.9 & 47.0 & 47.0 \\
 9 & $\alpha$   Eri. & $Achernar$  & $ 0.5$ & \bf                     $-$57 &  5.6 &  5.5 &  5.4 &  5.3 &  5.1 &  4.9 &  4.8 &  4.8 &  4.9 &  5.0 &  5.2 &  5.3 \\
10 & $\gamma$   And. & $Almak$  & $ 2.3$ & \bf                        $+$42 & 28.4 & 28.3 & 28.3 & 28.2 & 28.1 & 28.1 & 28.1 & 28.2 & 28.3 & 28.4 & 28.5 & 28.6 \\[1.4ex]
12 & $\alpha$   Ari. & $Hamal$  & $ 2.0$ & \bf                        $+$23 & 36.1 & 36.1 & 36.0 & 36.0 & 36.0 & 36.0 & 36.1 & 36.1 & 36.2 & 36.3 & 36.3 & 36.4 \\
