  0&00&$-$& 23.7& 26&00&$-$& 33.8& 52&00&$-$& 37.1& 78&00&$-$& 32.8&104&00&$-$& 21.9&130&00&$-$&  6.6&156&00&$+$& 10.1\\
  0&30&$-$& 24.0& 26&30&$-$& 34.0& 52&30&$-$& 37.1& 78&30&$-$& 32.7&104&30&$-$& 21.6&130&30&$-$&  6.2&156&30&$+$& 10.4\\
  1&00&$-$& 24.2& 27&00&$-$& 34.1& 53&00&$-$& 37.0& 79&00&$-$& 32.5&105&00&$-$& 21.4&131&00&$-$&  5.9&157&00&$+$& 10.7\\
  1&30&$-$& 24.5& 27&30&$-$& 34.2& 53&30&$-$& 37.0& 79&30&$-$& 32.3&105&30&$-$& 21.1&131&30&$-$&  5.6&157&30&$+$& 11.0\\
  2&00&$-$& 24.7& 28&00&$-$& 34.3& 54&00&$-$& 37.0& 80&00&$-$& 32.2&106&00&$-$& 20.8&132&00&$-$&  5.3&158&00&$+$& 11.3\\
  2&30&$-$& 25.0& 28&30&$-$& 34.5& 54&30&$-$& 37.0& 80&30&$-$& 32.0&106&30&$-$& 20.6&132&30&$-$&  5.0&158&30&$+$& 11.6\\[1ex]
  3&00&$-$& 25.2& 29&00&$-$& 34.6& 55&00&$-$& 37.0& 81&00&$-$& 31.9&107&00&$-$& 20.3&133&00&$-$&  4.6&159&00&$+$& 12.0\\
  3&30&$-$& 25.4& 29&30&$-$& 34.7& 55&30&$-$& 36.9& 81&30&$-$& 31.7&107&30&$-$& 20.0&133&30&$-$&  4.3&159&30&$+$& 12.3\\
  4&00&$-$& 25.7& 30&00&$-$& 34.8& 56&00&$-$& 36.9& 82&00&$-$& 31.5&108&00&$-$& 19.8&134&00&$-$&  4.0&160&00&$+$& 12.6\\
  4&30&$-$& 25.9& 30&30&$-$& 34.9& 56&30&$-$& 36.9& 82&30&$-$& 31.3&108&30&$-$& 19.5&134&30&$-$&  3.7&160&30&$+$& 12.9\\
  5&00&$-$& 26.1& 31&00&$-$& 35.0& 57&00&$-$& 36.8& 83&00&$-$& 31.2&109&00&$-$& 19.2&135&00&$-$&  3.4&161&00&$+$& 13.2\\
  5&30&$-$& 26.4& 31&30&$-$& 35.1& 57&30&$-$& 36.8& 83&30&$-$& 31.0&109&30&$-$& 18.9&135&30&$-$&  3.0&161&30&$+$& 13.5\\[1ex]
  6&00&$-$& 26.6& 32&00&$-$& 35.2& 58&00&$-$& 36.7& 84&00&$-$& 30.8&110&00&$-$& 18.7&136&00&$-$&  2.7&162&00&$+$& 13.8\\
  6&30&$-$& 26.8& 32&30&$-$& 35.3& 58&30&$-$& 36.7& 84&30&$-$& 30.6&110&30&$-$& 18.4&136&30&$-$&  2.4&162&30&$+$& 14.1\\
